gsm	title	source_name_ch1	organism_ch1	ch:strain	ch:cross	ch:developmental stage	data_processing	library_strategy	supplementary_file_1	ch:tissue
GSM1112659	late2cell_7-2	Late 2-cell stage blastomere (46-48h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late 2-cell stage blastomere (46-48h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112659/suppl/GSM1112659_late2cell_7-2_expression.txt.gz	
GSM1112660	late2cell_8-1	Late 2-cell stage blastomere (46-48h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late 2-cell stage blastomere (46-48h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112660/suppl/GSM1112660_late2cell_8-1_expression.txt.gz	
GSM1112661	late2cell_8-2	Late 2-cell stage blastomere (46-48h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late 2-cell stage blastomere (46-48h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112661/suppl/GSM1112661_late2cell_8-2_expression.txt.gz	
GSM1112662	late2cell_9-1	Late 2-cell stage blastomere (46-48h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late 2-cell stage blastomere (46-48h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112662/suppl/GSM1112662_late2cell_9-1_expression.txt.gz	
GSM1112663	late2cell_9-2	Late 2-cell stage blastomere (46-48h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late 2-cell stage blastomere (46-48h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112663/suppl/GSM1112663_late2cell_9-2_expression.txt.gz	
GSM1112664	lateblast_1-10	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112664/suppl/GSM1112664_lateblast_1-10_expression.txt.gz	
GSM1112665	lateblast_1-11	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112665/suppl/GSM1112665_lateblast_1-11_expression.txt.gz	
GSM1112666	lateblast_1-13	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112666/suppl/GSM1112666_lateblast_1-13_expression.txt.gz	
GSM1112667	lateblast_1-14	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112667/suppl/GSM1112667_lateblast_1-14_expression.txt.gz	
GSM1112668	lateblast_1-16	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112668/suppl/GSM1112668_lateblast_1-16_expression.txt.gz	
GSM1112669	lateblast_1-19	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112669/suppl/GSM1112669_lateblast_1-19_expression.txt.gz	
GSM1112670	lateblast_1-2	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112670/suppl/GSM1112670_lateblast_1-2_expression.txt.gz	
GSM1112671	lateblast_1-20	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112671/suppl/GSM1112671_lateblast_1-20_expression.txt.gz	
GSM1112672	lateblast_1-21	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112672/suppl/GSM1112672_lateblast_1-21_expression.txt.gz	
GSM1112673	lateblast_1-23	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112673/suppl/GSM1112673_lateblast_1-23_expression.txt.gz	
GSM1112674	lateblast_1-24	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112674/suppl/GSM1112674_lateblast_1-24_expression.txt.gz	
GSM1112675	lateblast_1-26	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112675/suppl/GSM1112675_lateblast_1-26_expression.txt.gz	
GSM1112676	lateblast_1-27	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112676/suppl/GSM1112676_lateblast_1-27_expression.txt.gz	
GSM1112677	lateblast_1-4	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112677/suppl/GSM1112677_lateblast_1-4_expression.txt.gz	
GSM1112678	lateblast_1-5	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112678/suppl/GSM1112678_lateblast_1-5_expression.txt.gz	
GSM1112679	lateblast_1-6	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112679/suppl/GSM1112679_lateblast_1-6_expression.txt.gz	
GSM1112680	lateblast_1-7	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112680/suppl/GSM1112680_lateblast_1-7_expression.txt.gz	
GSM1112681	lateblast_1-8	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112681/suppl/GSM1112681_lateblast_1-8_expression.txt.gz	
GSM1112682	lateblast_1-9	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112682/suppl/GSM1112682_lateblast_1-9_expression.txt.gz	
GSM1112683	lateblast_2-1	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112683/suppl/GSM1112683_lateblast_2-1_expression.txt.gz	
GSM1112684	lateblast_2-12	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112684/suppl/GSM1112684_lateblast_2-12_expression.txt.gz	
GSM1112685	lateblast_2-14	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112685/suppl/GSM1112685_lateblast_2-14_expression.txt.gz	
GSM1112686	lateblast_2-16	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112686/suppl/GSM1112686_lateblast_2-16_expression.txt.gz	
GSM1112687	lateblast_2-17	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112687/suppl/GSM1112687_lateblast_2-17_expression.txt.gz	
GSM1112688	lateblast_2-2	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112688/suppl/GSM1112688_lateblast_2-2_expression.txt.gz	
GSM1112689	lateblast_2-3	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112689/suppl/GSM1112689_lateblast_2-3_expression.txt.gz	
GSM1112690	lateblast_2-5	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112690/suppl/GSM1112690_lateblast_2-5_expression.txt.gz	
GSM1112691	lateblast_2-7	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112691/suppl/GSM1112691_lateblast_2-7_expression.txt.gz	
GSM1112692	lateblast_2-8	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112692/suppl/GSM1112692_lateblast_2-8_expression.txt.gz	
GSM1112693	lateblast_2-9	Late blastocyst cell (100-102h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Late blastocyst cell (100-102h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112693/suppl/GSM1112693_lateblast_2-9_expression.txt.gz	
GSM1112694	mid2cell_0-1	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112694/suppl/GSM1112694_mid2cell_0r-1_expression.txt.gz	
GSM1112695	mid2cell_0-2	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112695/suppl/GSM1112695_mid2cell_0r-2_expression.txt.gz	
GSM1112696	mid2cell_3-1	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112696/suppl/GSM1112696_mid2cell_3-1_expression.txt.gz	
GSM1112697	mid2cell_3-2	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112697/suppl/GSM1112697_mid2cell_3-2_expression.txt.gz	
GSM1112698	mid2cell_4-1	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112698/suppl/GSM1112698_mid2cell_4-1_expression.txt.gz	
GSM1112699	mid2cell_4-2	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112699/suppl/GSM1112699_mid2cell_4-2_expression.txt.gz	
GSM1112700	mid2cell_5-1	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112700/suppl/GSM1112700_mid2cell_5-1_expression.txt.gz	
GSM1112701	mid2cell_5-2	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112701/suppl/GSM1112701_mid2cell_5-2_expression.txt.gz	
GSM1112702	mid2cell_6-1	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112702/suppl/GSM1112702_mid2cell_6-1_expression.txt.gz	
GSM1112703	mid2cell_6-2	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112703/suppl/GSM1112703_mid2cell_6-2_expression.txt.gz	
GSM1112704	mid2cell_7-1	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112704/suppl/GSM1112704_mid2cell_7-1_expression.txt.gz	
GSM1112705	mid2cell_7-2	Mid 2-cell stage blastomere (34-40h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid 2-cell stage blastomere (34-40h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112705/suppl/GSM1112705_mid2cell_7-2_expression.txt.gz	
GSM1112706	midblast_1-1	Mid blastocyst cell (92-94h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid blastocyst cell (92-94h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112706/suppl/GSM1112706_midblast_1-1_expression.txt.gz	
GSM1112707	midblast_1-10	Mid blastocyst cell (92-94h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid blastocyst cell (92-94h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112707/suppl/GSM1112707_midblast_1-10_expression.txt.gz	
GSM1112708	midblast_1-11	Mid blastocyst cell (92-94h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid blastocyst cell (92-94h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112708/suppl/GSM1112708_midblast_1-11_expression.txt.gz	
GSM1112709	midblast_1-12	Mid blastocyst cell (92-94h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid blastocyst cell (92-94h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112709/suppl/GSM1112709_midblast_1-12_expression.txt.gz	
GSM1112710	midblast_1-13	Mid blastocyst cell (92-94h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid blastocyst cell (92-94h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112710/suppl/GSM1112710_midblast_1-13_expression.txt.gz	
GSM1112711	midblast_1-14	Mid blastocyst cell (92-94h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid blastocyst cell (92-94h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112711/suppl/GSM1112711_midblast_1-14_expression.txt.gz	
GSM1112712	midblast_1-15	Mid blastocyst cell (92-94h post-fertilization)	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	Mid blastocyst cell (92-94h post-fertilization)	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112712/suppl/GSM1112712_midblast_1-15_expression.txt.gz	
