accession	status	symbol	title
XM_015470288.1	suppressed	LOC518106	PREDICTED: Bos taurus extracellular matrix protein 2-like (LOC518106), mRNA
XM_015470289.1	suppressed	FAM58A	PREDICTED: Bos taurus family with sequence similarity 58 member A (FAM58A), transcript variant X7, mRNA
XM_015470290.1	suppressed	HCFC1	PREDICTED: Bos taurus host cell factor C1 (HCFC1), transcript variant X2, mRNA
XM_015470292.1	suppressed	LOC101904339	PREDICTED: Bos taurus uncharacterized LOC101904339 (LOC101904339), transcript variant X7, mRNA
XM_015470294.1	suppressed	LOC101903778	PREDICTED: Bos taurus putative RNA-binding protein 15B (LOC101903778), transcript variant X2, mRNA
XM_015470295.1	suppressed	LOC783013	PREDICTED: Bos taurus melanoma-associated antigen 10-like (LOC783013), mRNA
XM_015470296.1	suppressed	LOC101904716	PREDICTED: Bos taurus cancer/testis antigen 1-like (LOC101904716), mRNA
XM_015470297.1	suppressed	LOC107132012	PREDICTED: Bos taurus EKC/KEOPS complex subunit LAGE3-like (LOC107132012), mRNA
XM_015470298.1	suppressed	LOC618023	PREDICTED: Bos taurus cancer/testis antigen 1 (LOC618023), mRNA
XM_015470299.1	suppressed	LOC100847713	PREDICTED: Bos taurus EKC/KEOPS complex subunit LAGE3-like (LOC100847713), mRNA
XM_015470300.1	suppressed	LOC783472	PREDICTED: Bos taurus EKC/KEOPS complex subunit LAGE3-like (LOC783472), mRNA
XM_015470301.1	suppressed	LOC520584	PREDICTED: Bos taurus PR domain containing 7-like (LOC520584), mRNA
XM_015470302.1	suppressed	ARMCX5	PREDICTED: Bos taurus armadillo repeat containing, X-linked 5 (ARMCX5), mRNA
XM_015470303.1	suppressed	LOC104976347	PREDICTED: Bos taurus uncharacterized LOC104976347 (LOC104976347), mRNA
XM_015470304.1	suppressed	LOC101907097	PREDICTED: Bos taurus E3 ubiquitin-protein ligase SIAH1-like (LOC101907097), mRNA
XM_015470305.1	suppressed	PCDH11X	PREDICTED: Bos taurus protocadherin 11 X-linked (PCDH11X), transcript variant X1, mRNA
XM_015470306.1	suppressed	PCDH11X	PREDICTED: Bos taurus protocadherin 11 X-linked (PCDH11X), transcript variant X2, mRNA
XM_015470307.1	suppressed	PCDH11X	PREDICTED: Bos taurus protocadherin 11 X-linked (PCDH11X), transcript variant X3, mRNA
XM_015470308.1	suppressed	PCDH11X	PREDICTED: Bos taurus protocadherin 11 X-linked (PCDH11X), transcript variant X4, mRNA
XM_015470309.1	suppressed	PCDH11X	PREDICTED: Bos taurus protocadherin 11 X-linked (PCDH11X), transcript variant X5, mRNA
XM_015470310.1	suppressed	FAM133A	PREDICTED: Bos taurus family with sequence similarity 133 member A (FAM133A), transcript variant X4, mRNA
XM_015470311.1	suppressed	GPRASP1	PREDICTED: Bos taurus G protein-coupled receptor associated sorting protein 1 (GPRASP1), mRNA
XM_015470312.1	suppressed	GPRASP2	PREDICTED: Bos taurus G protein-coupled receptor associated sorting protein 2 (GPRASP2), mRNA
XM_015470313.1	suppressed	BHLHB9	PREDICTED: Bos taurus basic helix-loop-helix domain containing, class B, 9 (BHLHB9), transcript variant X1, mRNA
XM_015470314.1	suppressed	BHLHB9	PREDICTED: Bos taurus basic helix-loop-helix domain containing, class B, 9 (BHLHB9), transcript variant X3, mRNA
XM_015470315.1	suppressed	LOC101902201	PREDICTED: Bos taurus cancer/testis antigen 1-like (LOC101902201), transcript variant X2, mRNA
XM_015470317.1	suppressed	ERI1	PREDICTED: Bos taurus exoribonuclease 1 (ERI1), mRNA
XM_015470319.1	suppressed	LOC523530	PREDICTED: Bos taurus nuclear RNA export factor 3 (LOC523530), mRNA
XM_015470320.1	suppressed	LOC107133433	PREDICTED: Bos taurus octapeptide-repeat protein T2-like (LOC107133433), mRNA
XM_015470321.1	suppressed	LOC107131156	PREDICTED: Bos taurus nik-related protein kinase-like (LOC107131156), mRNA
XM_015470323.1	suppressed	LOC101902960	PREDICTED: Bos taurus cancer/testis antigen 1-like (LOC101902960), transcript variant X1, mRNA
