accession	status	symbol	title
XM_001249345.5	suppressed	LOC780976	PREDICTED: Bos taurus olfactory receptor 11H6 (LOC780976), mRNA
XM_001249354.6	suppressed	CWC22	PREDICTED: Bos taurus CWC22 homolog, spliceosome-associated protein (CWC22), transcript variant X2, mRNA
XM_001249373.5	suppressed	AGTR2	PREDICTED: Bos taurus angiotensin II receptor type 2 (AGTR2), mRNA
XM_001249417.6	suppressed	MGMT	PREDICTED: Bos taurus O-6-methylguanine-DNA methyltransferase (MGMT), transcript variant X3, mRNA
XM_001249528.7	suppressed	LOC781224	PREDICTED: Bos taurus H3 histone, family 3A-like (LOC781224), mRNA
XM_001249564.7	suppressed	NIPAL2	PREDICTED: Bos taurus NIPA like domain containing 2 (NIPAL2), mRNA
XM_001249611.7	suppressed	UPF2	PREDICTED: Bos taurus UPF2 regulator of nonsense transcripts homolog (yeast) (UPF2), transcript variant X2, mRNA
XM_001249617.6	suppressed	LOC781298	PREDICTED: Bos taurus phosphatidylcholine transfer protein (LOC781298), mRNA
XM_001249682.6	suppressed	LOC781277	PREDICTED: Bos taurus putative olfactory receptor 8G3 pseudogene (LOC781277), mRNA
XM_001249683.2	suppressed	OR6C4	PREDICTED: Bos taurus olfactory receptor, family 6, subfamily C, member 4 (OR6C4), mRNA
XM_001249704.6	suppressed	FOXM1	PREDICTED: Bos taurus forkhead box M1 (FOXM1), transcript variant X3, mRNA
XM_001249716.4	suppressed	LOC786126	PREDICTED: Bos taurus duodenase-1-like (LOC786126), mRNA
XM_001249725.2	suppressed	LOC781323	PREDICTED: Bos taurus gap junction epsilon-1 protein (LOC781323), mRNA
XM_001249759.7	suppressed	LOC781152	PREDICTED: Bos taurus P antigen family, member 3 (prostate associated)-like (LOC781152), transcript variant X4, mRNA
XM_001249766.4	suppressed	RYK	PREDICTED: Bos taurus receptor-like tyrosine kinase (RYK), partial mRNA
XM_001249774.3	suppressed	LOC781363	PREDICTED: Bos taurus olfactory receptor 6C4 (LOC781363), transcript variant X2, mRNA
XM_001249778.1	suppressed	LOC781410	PREDICTED: Bos taurus histone H2B type 1 (LOC781410), mRNA
XM_001249823.4	suppressed	TPD52L3	PREDICTED: Bos taurus tumor protein D52-like 3 (TPD52L3), transcript variant X1, mRNA
XM_001249844.5	suppressed	LOC781223	PREDICTED: Bos taurus histone H4 (LOC781223), mRNA
XM_001249872.2	suppressed	LOC781446	PREDICTED: Bos taurus olfactory receptor 8S1 (LOC781446), mRNA
XM_001249944.7	suppressed	LOC782609	PREDICTED: Bos taurus nucleosome assembly protein 1-like 1 (LOC782609), mRNA
XM_001249956.6	suppressed	ZSWIM4	PREDICTED: Bos taurus zinc finger, SWIM-type containing 4 (ZSWIM4), transcript variant X2, mRNA
XM_001249968.4	suppressed	CCDC182	PREDICTED: Bos taurus coiled-coil domain containing 182 (CCDC182), mRNA
XM_001250013.5	suppressed	PLPP5	PREDICTED: Bos taurus phospholipid phosphatase 5 (PLPP5), transcript variant X2, mRNA
XM_001250060.6	suppressed	LOC782601	PREDICTED: Bos taurus histone H3-like centromeric protein A (LOC782601), transcript variant X2, mRNA
XM_001250065.5	suppressed	MSRB3	PREDICTED: Bos taurus methionine sulfoxide reductase B3 (MSRB3), transcript variant X2, mRNA
XM_001250104.6	suppressed	CMTR2	PREDICTED: Bos taurus cap methyltransferase 2 (CMTR2), mRNA
XM_001250112.4	suppressed	MSRB3	PREDICTED: Bos taurus methionine sulfoxide reductase B3 (MSRB3), transcript variant X3, mRNA
XM_001250146.4	suppressed	GLDN	PREDICTED: Bos taurus gliomedin (GLDN), mRNA
XM_001250151.5	suppressed	TPH1	PREDICTED: Bos taurus tryptophan hydroxylase 1 (TPH1), transcript variant X3, mRNA
XM_001250168.6	suppressed	MSRB3	PREDICTED: Bos taurus methionine sulfoxide reductase B3 (MSRB3), transcript variant X1, mRNA
XM_001250175.6	suppressed	LOC782892	PREDICTED: Bos taurus Rhox homeobox family, member 1-like (LOC782892), mRNA
XM_001250190.2	suppressed	LOC781713	PREDICTED: Bos taurus olfactory receptor 4K3 (LOC781713), mRNA
XM_001250234.6	suppressed	LOC781741	PREDICTED: Bos taurus BAG family molecular chaperone regulator 1 (LOC781741), mRNA
XM_001250285.5	suppressed	FAM169B	PREDICTED: Bos taurus family with sequence similarity 169 member B (FAM169B), transcript variant X3, mRNA
XM_001250336.5	suppressed	LOC781828	PREDICTED: Bos taurus putative olfactory receptor 8G3 pseudogene (LOC781828), mRNA
XM_001250503.7	suppressed	FAM221B	PREDICTED: Bos taurus family with sequence similarity 221 member B (FAM221B), transcript variant X1, mRNA
XM_001250514.6	suppressed	LOC783730	PREDICTED: Bos taurus protein FAM127 (LOC783730), mRNA
XM_001250527.1	suppressed	LOC781968	PREDICTED: Bos taurus olfactory receptor 8S1 (LOC781968), mRNA
XM_001250561.4	suppressed	OR10R2	PREDICTED: Bos taurus olfactory receptor, family 10, subfamily R, member 2 (OR10R2), mRNA
XM_001250569.5	suppressed	LOC782009	PREDICTED: Bos taurus putative olfactory receptor 8G3 pseudogene (LOC782009), mRNA
XM_001250575.6	suppressed	LOC782884	PREDICTED: Bos taurus dihydrodiol dehydrogenase 3 (LOC782884), mRNA
XM_001250588.5	suppressed	AASDH	PREDICTED: Bos taurus aminoadipate-semialdehyde dehydrogenase (AASDH), transcript variant X2, mRNA
XM_001250652.5	suppressed	LOC782076	PREDICTED: Bos taurus uncharacterized protein ENSP00000372125 (LOC782076), mRNA
XM_001250657.3	suppressed	LOC782628	PREDICTED: Bos taurus keratin-associated protein 12-2 (LOC782628), mRNA
XM_001250693.4	suppressed	LOC523680	PREDICTED: Bos taurus olfactory receptor 149 (LOC523680), mRNA
XM_001250736.6	suppressed	LOC782145	PREDICTED: Bos taurus uncharacterized LOC782145 (LOC782145), mRNA
XM_001250767.5	suppressed	LOC785873	PREDICTED: Bos taurus tripartite motif containing 26 (LOC785873), mRNA
XM_001250774.7	suppressed	CD58	PREDICTED: Bos taurus CD58 molecule (CD58), transcript variant X2, mRNA
XM_001250777.2	suppressed	LOC782190	PREDICTED: Bos taurus olfactory receptor 12 (LOC782190), mRNA
XM_001250778.3	suppressed	LOC782191	PREDICTED: Bos taurus olfactory receptor 143 (LOC782191), mRNA
XM_001250780.6	suppressed	LOC532036	PREDICTED: Bos taurus zinc finger and SCAN domain-containing protein 5B-like (LOC532036), mRNA
XM_001250833.2	suppressed	LOC782220	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782220), mRNA
XM_001250834.1	suppressed	LOC782221	PREDICTED: Bos taurus olfactory receptor 8B3 (LOC782221), mRNA
XM_001250858.7	suppressed	MON2	PREDICTED: Bos taurus MON2 homolog, regulator of endosome-to-Golgi trafficking (MON2), transcript variant X1, mRNA
XM_001250866.6	suppressed	LOC786133	PREDICTED: Bos taurus olfactory receptor 5D18-like (LOC786133), mRNA
XM_001250872.1	suppressed	LOC786578	PREDICTED: Bos taurus uncharacterized LOC786578 (LOC786578), mRNA
XM_001250879.4	suppressed	ARHGEF3	PREDICTED: Bos taurus Rho guanine nucleotide exchange factor 3 (ARHGEF3), transcript variant X7, mRNA
XM_001250883.3	suppressed	LOC782255	PREDICTED: Bos taurus olfactory receptor 12 (LOC782255), mRNA
XM_001250920.2	suppressed	LOC782288	PREDICTED: Bos taurus olfactory receptor 10G9 (LOC782288), mRNA
XM_001250926.3	suppressed	LOC782296	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782296), mRNA
XM_001250927.1	suppressed	LOC782297	PREDICTED: Bos taurus olfactory receptor 8B3 (LOC782297), mRNA
XM_001250929.3	suppressed	LOC782301	PREDICTED: Bos taurus olfactory receptor 2W1 (LOC782301), mRNA
XM_001250974.2	suppressed	LOC782329	PREDICTED: Bos taurus olfactory receptor 148 (LOC782329), mRNA
XM_001250980.2	suppressed	LOC782338	PREDICTED: Bos taurus olfactory receptor, family 6, subfamily C, member 2-like (LOC782338), mRNA
XM_001250984.6	suppressed	MPHOSPH8	PREDICTED: Bos taurus M-phase phosphoprotein 8 (MPHOSPH8), transcript variant X2, mRNA
XM_001251006.5	suppressed	NXPE2	PREDICTED: Bos taurus neurexophilin and PC-esterase domain family member 2 (NXPE2), mRNA
XM_001251011.2	suppressed	LOC782366	PREDICTED: Bos taurus olfactory receptor 148 (LOC782366), mRNA
XM_001251012.7	suppressed	LOC788175	PREDICTED: Bos taurus antigen-presenting glycoprotein CD1d-like (LOC788175), mRNA
XM_001251015.5	suppressed	LOC782373	PREDICTED: Bos taurus olfactory receptor 51H1 (LOC782373), mRNA
XM_001251029.6	suppressed	LOC515570	PREDICTED: Bos taurus nodal modulator 1 (LOC515570), mRNA
XM_001251046.7	suppressed	CCDC121	PREDICTED: Bos taurus coiled-coil domain containing 121 (CCDC121), mRNA
XM_001251057.2	suppressed	LOC782430	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782430), mRNA
XM_001251062.4	suppressed	LAGE3	PREDICTED: Bos taurus L antigen family member 3 (LAGE3), mRNA
XM_001251081.7	suppressed	LOC785761	PREDICTED: Bos taurus heterogeneous nuclear ribonucleoprotein A1 (LOC785761), mRNA
XM_001251098.6	suppressed	MB21D1	PREDICTED: Bos taurus Mab-21 domain containing 1 (MB21D1), transcript variant X2, mRNA
XM_001251107.5	suppressed	LOC783680	PREDICTED: Bos taurus beta-2-microglobulin (LOC783680), mRNA
XM_001251210.2	suppressed	LOC782577	PREDICTED: Bos taurus olfactory receptor 5G3 (LOC782577), mRNA
XM_001251234.5	suppressed	APLP2	PREDICTED: Bos taurus amyloid beta precursor like protein 2 (APLP2), transcript variant X1, mRNA
XM_001251252.4	suppressed	LOC782624	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782624), mRNA
XM_001251281.3	suppressed	LOC782645	PREDICTED: Bos taurus olfactory receptor 10T2 (LOC782645), mRNA
XM_001251292.4	suppressed	ZGLP1	PREDICTED: Bos taurus zinc finger, GATA-like protein 1 (ZGLP1), mRNA
XM_001251310.1	suppressed	LOC782957	PREDICTED: Bos taurus taste receptor, type 2, member 46 (LOC782957), mRNA
XM_001251335.4	suppressed	LOC782699	PREDICTED: Bos taurus disintegrin and metalloproteinase domain-containing protein 20 (LOC782699), mRNA
XM_001251343.5	suppressed	SLC45A2	PREDICTED: Bos taurus solute carrier family 45 member 2 (SLC45A2), transcript variant X1, mRNA
XM_001251357.6	suppressed	CD72	PREDICTED: Bos taurus CD72 molecule (CD72), transcript variant X1, mRNA
XM_001251371.4	suppressed	OR8B4	PREDICTED: Bos taurus olfactory receptor, family 8, subfamily B, member 4 (OR8B4), mRNA
XM_001251406.3	suppressed	LOC782754	PREDICTED: Bos taurus mpv17-like protein 2 (LOC782754), mRNA
XM_001251413.1	suppressed	OR10A3	PREDICTED: Bos taurus olfactory receptor, family 10, subfamily A, member 3 (OR10A3), mRNA
XM_001251450.2	suppressed	LOC782792	PREDICTED: Bos taurus putative olfactory receptor 5AK3 (LOC782792), mRNA
XM_001251451.7	suppressed	PRKD2	PREDICTED: Bos taurus protein kinase D2 (PRKD2), transcript variant X4, mRNA
XM_001251454.1	suppressed	LOC782797	PREDICTED: Bos taurus olfactory receptor 8B12 (LOC782797), mRNA
XM_001251488.3	suppressed	LOC782841	PREDICTED: Bos taurus olfactory receptor 8J2 (LOC782841), mRNA
XM_001251517.3	suppressed	LOC782866	PREDICTED: Bos taurus olfactory receptor, family 5, subfamily AK, member 2-like (LOC782866), mRNA
XM_001251527.5	suppressed	LOC101906893	PREDICTED: Bos taurus olfactory receptor 52A1-like (LOC101906893), mRNA
XM_001251557.6	suppressed	SMIM4	PREDICTED: Bos taurus small integral membrane protein 4 (SMIM4), mRNA
XM_001251559.6	suppressed	GAS2L3	PREDICTED: Bos taurus growth arrest specific 2 like 3 (GAS2L3), transcript variant X4, mRNA
XM_001251569.2	suppressed	LOC516101	PREDICTED: Bos taurus trace amine-associated receptor 8 (LOC516101), mRNA
XM_001251599.2	suppressed	LOC782941	PREDICTED: Bos taurus olfactory receptor 52K1 (LOC782941), mRNA
XM_001251607.4	suppressed	FAAP100	PREDICTED: Bos taurus Fanconi anemia core complex associated protein 100 (FAAP100), transcript variant X1, mRNA
XM_001251610.7	suppressed	LOC784522	PREDICTED: Bos taurus zinc finger protein 322 (LOC784522), mRNA
XM_001251618.7	suppressed	LOC782966	PREDICTED: Bos taurus tubulin alpha-1A chain (LOC782966), mRNA
XM_001251627.4	suppressed	OR5P3	PREDICTED: Bos taurus olfactory receptor, family 5, subfamily P, member 3 (OR5P3), mRNA
XM_001251638.5	suppressed	C28H10orf128	PREDICTED: Bos taurus chromosome 28 open reading frame, human C10orf128 (C28H10orf128), transcript variant X2, mRNA
XM_001251645.6	suppressed	PIGO	PREDICTED: Bos taurus phosphatidylinositol glycan anchor biosynthesis class O (PIGO), mRNA
XM_001251664.6	suppressed	FKBP15	PREDICTED: Bos taurus FK506 binding protein 15 (FKBP15), transcript variant X1, mRNA
XM_001251708.4	suppressed	LOC785109	PREDICTED: Bos taurus RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (LOC785109), mRNA
XM_001251754.6	suppressed	PLA2G6	PREDICTED: Bos taurus phospholipase A2 group VI (PLA2G6), transcript variant X1, mRNA
XM_001251757.4	suppressed	LOC783912	PREDICTED: Bos taurus interferon alpha-H (LOC783912), mRNA
XM_001251759.7	suppressed	EMP1	PREDICTED: Bos taurus epithelial membrane protein 1 (EMP1), transcript variant X1, mRNA
XM_001251782.7	suppressed	RILP	PREDICTED: Bos taurus Rab interacting lysosomal protein (RILP), mRNA
XM_001251797.5	suppressed	LOC783161	PREDICTED: Bos taurus uncharacterized protein DKFZp762I1415-like (LOC783161), mRNA
XM_001251830.6	suppressed	LOC783195	PREDICTED: Bos taurus ribonuclease 4 (LOC783195), mRNA
XM_001251833.6	suppressed	LOC783202	PREDICTED: Bos taurus cytochrome c oxidase subunit 8A, mitochondrial (LOC783202), mRNA
XM_001251834.3	suppressed	LOC783203	PREDICTED: Bos taurus olfactory receptor 2B2 (LOC783203), mRNA
XM_001251842.7	suppressed	VPS8	PREDICTED: Bos taurus VPS8, CORVET complex subunit (VPS8), transcript variant X1, mRNA
XM_001251843.7	suppressed	VPS13C	PREDICTED: Bos taurus vacuolar protein sorting 13 homolog C (S. cerevisiae) (VPS13C), transcript variant X3, mRNA
XM_001251869.4	suppressed	LOC783225	PREDICTED: Bos taurus angiogenin-1 (LOC783225), mRNA
XM_001251887.2	suppressed	OR11L1	PREDICTED: Bos taurus olfactory receptor, family 11, subfamily L, member 1 (OR11L1), mRNA
XM_001251891.6	suppressed	VPS13C	PREDICTED: Bos taurus vacuolar protein sorting 13 homolog C (S. cerevisiae) (VPS13C), transcript variant X4, mRNA
XM_001251908.7	suppressed	BCL11B	PREDICTED: Bos taurus B-cell CLL/lymphoma 11B (BCL11B), transcript variant X1, mRNA
XM_001251948.4	suppressed	LOC783311	PREDICTED: Bos taurus olfactory receptor 2G6 (LOC783311), mRNA
XM_001251950.2	suppressed	LOC783313	PREDICTED: Bos taurus olfactory receptor 7A17 (LOC783313), mRNA
XM_001251956.5	suppressed	LOC783323	PREDICTED: Bos taurus olfactory receptor 51L1-like (LOC783323), mRNA
XM_001251983.5	suppressed	HRH4	PREDICTED: Bos taurus histamine receptor H4 (HRH4), mRNA
XM_001251984.7	suppressed	OR7D4	PREDICTED: Bos taurus olfactory receptor, family 7, subfamily D, member 4 (OR7D4), mRNA
XM_001251995.5	suppressed	EIF2B5	PREDICTED: Bos taurus eukaryotic translation initiation factor 2B subunit epsilon (EIF2B5), mRNA
XM_001252008.5	suppressed	CLEC2B	PREDICTED: Bos taurus C-type lectin domain family 2 member B (CLEC2B), mRNA
XM_001252016.1	suppressed	LOC505646	PREDICTED: Bos taurus olfactory receptor 52A1 (LOC505646), mRNA
XM_001252033.6	suppressed	RBMS3	PREDICTED: Bos taurus RNA binding motif, single stranded interacting protein 3 (RBMS3), transcript variant X3, mRNA
XM_001252069.6	suppressed	C21H15orf39	PREDICTED: Bos taurus chromosome 21 open reading frame, human C15orf39 (C21H15orf39), transcript variant X1, mRNA
XM_001252099.5	suppressed	LOC784525	PREDICTED: Bos taurus interferon beta-2 (LOC784525), mRNA
XM_001252107.5	suppressed	LOC783518	PREDICTED: Bos taurus olfactory receptor 10A5 (LOC783518), mRNA
XM_001252116.4	suppressed	C11H9orf69	PREDICTED: Bos taurus chromosome 11 open reading frame, human C9orf69 (C11H9orf69), transcript variant X3, mRNA
XM_001252133.4	suppressed	C5H12orf56	PREDICTED: Bos taurus chromosome 5 open reading frame, human C12orf56 (C5H12orf56), mRNA
XM_001252143.7	suppressed	ATPAF1	PREDICTED: Bos taurus ATP synthase mitochondrial F1 complex assembly factor 1 (ATPAF1), transcript variant X1, mRNA
XM_001252155.6	suppressed	KPNA5	PREDICTED: Bos taurus karyopherin alpha 5 (KPNA5), mRNA
XM_001252158.5	suppressed	LOC783600	PREDICTED: Bos taurus proline-rich protein 23C (LOC783600), mRNA
XM_001252165.6	suppressed	DENR	PREDICTED: Bos taurus density-regulated protein (DENR), mRNA
XM_001252194.7	suppressed	RAB38	PREDICTED: Bos taurus RAB38, member RAS oncogene family (RAB38), mRNA
XM_001252205.7	suppressed	DAAM2	PREDICTED: Bos taurus dishevelled associated activator of morphogenesis 2 (DAAM2), transcript variant X3, mRNA
XM_001252209.1	suppressed	LOC783671	PREDICTED: Bos taurus olfactory receptor 51V1 (LOC783671), mRNA
XM_001252217.6	suppressed	DENND5A	PREDICTED: Bos taurus DENN/MADD domain containing 5A (DENND5A), transcript variant X2, mRNA
XM_001252218.4	suppressed	FAM196A	PREDICTED: Bos taurus family with sequence similarity 196 member A (FAM196A), transcript variant X1, mRNA
XM_001252221.4	suppressed	OR5AC2	PREDICTED: Bos taurus olfactory receptor, family 5, subfamily AC, member 2 (OR5AC2), mRNA
XM_001252270.2	suppressed	OR5K3	PREDICTED: Bos taurus olfactory receptor, family 5, subfamily K, member 3 (OR5K3), mRNA
XM_001252271.5	suppressed	OR11H6	PREDICTED: Bos taurus olfactory receptor, family 11, subfamily H, member 6 (OR11H6), mRNA
XM_001252279.1	suppressed	LOC788881	PREDICTED: Bos taurus olfactory receptor 51A7 (LOC788881), mRNA
XM_001252292.2	suppressed	LOC783812	PREDICTED: Bos taurus olfactory receptor 5H2 (LOC783812), mRNA
XM_001252314.4	suppressed	LOC783843	PREDICTED: Bos taurus olfactory receptor 5H2 (LOC783843), mRNA
XM_001252315.3	suppressed	LOC783845	PREDICTED: Bos taurus olfactory receptor 11H4 (LOC783845), mRNA
XM_001252331.6	suppressed	SRRM1	PREDICTED: Bos taurus serine/arginine repetitive matrix 1 (SRRM1), transcript variant X5, mRNA
XM_001252334.4	suppressed	LOC785540	PREDICTED: Bos taurus cytochrome P450 2C31 (LOC785540), mRNA
XM_001252341.4	suppressed	LOC783884	PREDICTED: Bos taurus olfactory receptor, family 5, subfamily H, member 1-like (LOC783884), mRNA
XM_001252355.6	suppressed	TMEM202	PREDICTED: Bos taurus transmembrane protein 202 (TMEM202), transcript variant X1, mRNA
XM_001252413.5	suppressed	FAM205A	PREDICTED: Bos taurus family with sequence similarity 205, member A (FAM205A), transcript variant X1, mRNA
XM_001252419.6	suppressed	CEP104	PREDICTED: Bos taurus centrosomal protein 104kDa (CEP104), transcript variant X1, mRNA
XM_001252431.2	suppressed	LOC783995	PREDICTED: Bos taurus olfactory receptor, family 5, subfamily H, member 2 (LOC783995), mRNA
XM_001252463.6	suppressed	C16H1orf112	PREDICTED: Bos taurus chromosome 16 open reading frame, human C1orf112 (C16H1orf112), transcript variant X1, mRNA
XM_001252465.7	suppressed	LOC784038	PREDICTED: Bos taurus testis-specific H1 histone (LOC784038), partial mRNA
XM_001252522.5	suppressed	LOC782658	PREDICTED: Bos taurus olfactory receptor 51A4 (LOC782658), mRNA
XM_001252536.7	suppressed	AGTPBP1	PREDICTED: Bos taurus ATP/GTP binding protein 1 (AGTPBP1), transcript variant X1, mRNA
XM_001252588.2	suppressed	LOC784214	PREDICTED: Bos taurus olfactory receptor 11G2 (LOC784214), mRNA
XM_001252595.4	suppressed	LOC407145	PREDICTED: Bos taurus GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1 (LOC407145), transcript variant X1, mRNA
XM_001252628.7	suppressed	SMKR1	PREDICTED: Bos taurus small lysine-rich protein 1 (SMKR1), mRNA
XM_001252650.6	suppressed	CMPK2	PREDICTED: Bos taurus cytidine/uridine monophosphate kinase 2 (CMPK2), mRNA
XM_001252697.4	suppressed	NKX6-3	PREDICTED: Bos taurus NK6 homeobox 3 (NKX6-3), mRNA
XM_001252714.6	suppressed	KIAA0319L	PREDICTED: Bos taurus KIAA0319 like (KIAA0319L), transcript variant X1, mRNA
XM_001252742.1	suppressed	LOC784434	PREDICTED: Bos taurus olfactory receptor 13J1 (LOC784434), mRNA
XM_001252758.2	suppressed	LOC784455	PREDICTED: Bos taurus olfactory receptor 11G2 (LOC784455), mRNA
XM_001252760.6	suppressed	LOC784457	PREDICTED: Bos taurus proline-rich transmembrane protein 1 (LOC784457), mRNA
XM_001252777.4	suppressed	ANKRD66	PREDICTED: Bos taurus ankyrin repeat domain 66 (ANKRD66), mRNA
XM_001252787.6	suppressed	SP8	PREDICTED: Bos taurus Sp8 transcription factor (SP8), mRNA
XM_001252790.3	suppressed	RTBDN	PREDICTED: Bos taurus retbindin (RTBDN), transcript variant X1, mRNA
XM_001252806.5	suppressed	GPR141	PREDICTED: Bos taurus G protein-coupled receptor 141 (GPR141), mRNA
XM_001252824.7	suppressed	LOC785803	PREDICTED: Bos taurus lysozyme 14D (LOC785803), mRNA
XM_001252921.2	suppressed	LOC784679	PREDICTED: Bos taurus peptidyl-prolyl cis-trans isomerase A (LOC784679), mRNA
XM_001252922.1	suppressed	LOC784681	PREDICTED: Bos taurus olfactory receptor 2B11 (LOC784681), mRNA
XM_001252942.4	suppressed	OR2J3	PREDICTED: Bos taurus olfactory receptor, family 2, subfamily J, member 3 (OR2J3), mRNA
XM_001252953.6	suppressed	PASD1	PREDICTED: Bos taurus PAS domain containing 1 (PASD1), transcript variant X3, mRNA
XM_001252957.6	suppressed	AATF	PREDICTED: Bos taurus apoptosis antagonizing transcription factor (AATF), transcript variant X1, mRNA
XM_001252983.2	suppressed	LOC785479	PREDICTED: Bos taurus non-histone chromosomal protein HMG-14 (LOC785479), mRNA
XM_001252994.2	suppressed	LOC784778	PREDICTED: Bos taurus olfactory receptor 4K15 (LOC784778), mRNA
XM_001253009.7	suppressed	C11H2orf44	PREDICTED: Bos taurus chromosome 11 open reading frame, human C2orf44 (C11H2orf44), transcript variant X1, mRNA
XM_001253011.5	suppressed	CCL1	PREDICTED: Bos taurus chemokine (C-C motif) ligand 1 (CCL1), mRNA
XM_001253012.6	suppressed	GSTO1	PREDICTED: Bos taurus glutathione S-transferase omega 1 (GSTO1), transcript variant X1, mRNA
XM_001253039.7	suppressed	ACOT2	PREDICTED: Bos taurus acyl-CoA thioesterase 2 (ACOT2), mRNA
XM_001253075.3	suppressed	LOC784897	PREDICTED: Bos taurus olfactory receptor 5B12 (LOC784897), mRNA
XM_001253084.6	suppressed	GPR160	PREDICTED: Bos taurus G protein-coupled receptor 160 (GPR160), transcript variant X1, mRNA
XM_001253086.4	suppressed	OR4K14	PREDICTED: Bos taurus olfactory receptor, family 4, subfamily K, member 14 (OR4K14), mRNA
XM_001253090.7	suppressed	ZNF84	PREDICTED: Bos taurus zinc finger protein 84 (ZNF84), mRNA
XM_001253097.1	suppressed	LOC784925	PREDICTED: Bos taurus olfactory receptor 4F3/4F16/4F29 (LOC784925), mRNA
XM_001253103.5	suppressed	LOC786846	PREDICTED: Bos taurus olfactory receptor 1361 (LOC786846), mRNA
XM_001253118.2	suppressed	LOC784957	PREDICTED: Bos taurus olfactory receptor 4F3/4F16/4F29 (LOC784957), mRNA
XM_001253130.2	suppressed	LOC523062	PREDICTED: Bos taurus olfactory receptor 4Q2 (LOC523062), mRNA
XM_001253148.3	suppressed	LOC787432	PREDICTED: Bos taurus follitropin subunit beta (LOC787432), mRNA
XM_001253150.7	suppressed	PTMA	PREDICTED: Bos taurus prothymosin, alpha (PTMA), transcript variant X1, mRNA
XM_001253164.2	suppressed	OR4F15	PREDICTED: Bos taurus olfactory receptor, family 4, subfamily F, member 15 (OR4F15), mRNA
XM_001253181.4	suppressed	LOC785036	PREDICTED: Bos taurus olfactory receptor 51I2 (LOC785036), mRNA
XM_001253192.2	suppressed	LOC785050	PREDICTED: Bos taurus olfactory receptor 4F3/4F16/4F29 (LOC785050), mRNA
XM_001253207.4	suppressed	LOC785068	PREDICTED: Bos taurus olfactory receptor 51I2 (LOC785068), mRNA
XM_001253210.7	suppressed	SCAF1	PREDICTED: Bos taurus SR-related CTD-associated factor 1 (SCAF1), transcript variant X3, mRNA
XM_001253217.4	suppressed	LOC785082	PREDICTED: Bos taurus olfactory receptor 4F3/4F16/4F29 (LOC785082), mRNA
XM_001253218.5	suppressed	OBP	PREDICTED: Bos taurus odorant-binding protein (OBP), mRNA
XM_001253243.5	suppressed	LOC785121	PREDICTED: Bos taurus keratin-associated protein 13-1 (LOC785121), mRNA
XM_001253244.7	suppressed	ZBTB10	PREDICTED: Bos taurus zinc finger and BTB domain containing 10 (ZBTB10), mRNA
XM_001253258.6	suppressed	LOC785145	PREDICTED: Bos taurus olfactory receptor 4F3/4F16/4F29 (LOC785145), mRNA
XM_001253260.5	suppressed	LOC509005	PREDICTED: Bos taurus T-cell surface glycoprotein CD1b-2-like (LOC509005), transcript variant X2, mRNA
XM_001253267.4	suppressed	LOC785155	PREDICTED: Bos taurus keratin-associated protein 13-1 (LOC785155), mRNA
XM_001253271.5	suppressed	LOC785162	PREDICTED: Bos taurus olfactory receptor, family 2, subfamily H, member 2-like (LOC785162), mRNA
XM_001253294.6	suppressed	CCDC159	PREDICTED: Bos taurus coiled-coil domain containing 159 (CCDC159), transcript variant X1, mRNA
XM_001253297.3	suppressed	LOC785207	PREDICTED: Bos taurus olfactory receptor 52K2 (LOC785207), mRNA
XM_001253298.2	suppressed	LOC788790	PREDICTED: Bos taurus olfactory receptor 4F3/4F16/4F29 (LOC788790), mRNA
XM_001253300.7	suppressed	TBKBP1	PREDICTED: Bos taurus TBK1 binding protein 1 (TBKBP1), transcript variant X4, mRNA
XM_001253301.7	suppressed	MXRA7	PREDICTED: Bos taurus matrix-remodelling associated 7 (MXRA7), transcript variant X1, mRNA
XM_001253303.3	suppressed	LOC787611	PREDICTED: Bos taurus olfactory receptor 2L3 (LOC787611), mRNA
XM_001253315.2	suppressed	LOC785238	PREDICTED: Bos taurus olfactory receptor 52E4 (LOC785238), mRNA
XM_001253348.4	suppressed	LOC785277	PREDICTED: Bos taurus olfactory receptor 2G3 (LOC785277), mRNA
XM_001253365.6	suppressed	ANKUB1	PREDICTED: Bos taurus ankyrin repeat and ubiquitin domain containing 1 (ANKUB1), mRNA
XM_001253398.1	suppressed	TAAR9	PREDICTED: Bos taurus trace amine associated receptor 9 (TAAR9), mRNA
XM_001253425.4	suppressed	GLI3	PREDICTED: Bos taurus GLI family zinc finger 3 (GLI3), transcript variant X2, mRNA
XM_001253439.2	suppressed	OR5V1	PREDICTED: Bos taurus olfactory receptor, family 5, subfamily V, member 1 (OR5V1), mRNA
XM_001253454.2	suppressed	LOC785431	PREDICTED: Bos taurus olfactory receptor 5V1 (LOC785431), mRNA
XM_001253459.5	suppressed	KLF14	PREDICTED: Bos taurus Kruppel-like factor 14 (KLF14), mRNA
XM_001253481.4	suppressed	OR8K3	PREDICTED: Bos taurus olfactory receptor, family 8, subfamily K, member 3 (OR8K3), mRNA
