gse	run	layout	fastq_ftp	fastq_bytes	fastq_md5
GSE162345	SRR16201705	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/005/SRR16201705/SRR16201705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/005/SRR16201705/SRR16201705_2.fastq.gz	393685263;270071190	a241fb15070fa4659ce6a5860ae44772;5deb8169edd8500b6f85ee2dd5ce5512
GSE221985	SRR22944194	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/094/SRR22944194/SRR22944194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/094/SRR22944194/SRR22944194_2.fastq.gz	1481846582;1496126994	485808d110f2c7e488c9bceff98d95aa;1aceacbd3a4f4907afc4406aad8b6e9e
GSE221985	SRR22944187	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/087/SRR22944187/SRR22944187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/087/SRR22944187/SRR22944187_2.fastq.gz	479333039;479904499	71c83984e52e2518c8d918ac1a4c5fe6;f2a3a360b596e160a6cf70ddaab03849
GSE221985	SRR22944185	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/085/SRR22944185/SRR22944185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/085/SRR22944185/SRR22944185_2.fastq.gz	480164742;484051594	7fa26327fa6d94bc0952241c70a3c4bf;061efde54850061ba23abad6ee3157a8
GSE280522	SRR30827784	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30827784/SRR30827784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30827784/SRR30827784_2.fastq.gz	1350560916;1117169257	b9e4e49abc5239046dc0e15ed49f9539;ff86d4ab4e1ddd9862fed01600e7db6d
GSE280522	SRR30827741	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/041/SRR30827741/SRR30827741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/041/SRR30827741/SRR30827741_2.fastq.gz	1200946706;1205834347	fe08d6aacb2a51684bb3df0b8c25408d;be2b20ccc163c6591132603b95d83a63
GSE280522	SRR30827786	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30827786/SRR30827786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30827786/SRR30827786_2.fastq.gz	1395644456;1404774715	47ec1815a2d3186d852d05696de9926f;97e2660c208231a54359cd8fbd638aa8
GSE280522	SRR30827763	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30827763/SRR30827763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30827763/SRR30827763_2.fastq.gz	976558540;938123060	0e6e4133878645c0fffa57c7bc224307;bafd44b71838617044c5186bdc409b3a
GSE280522	SRR30827771	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_2.fastq.gz	1109689404;1046420220	aae4f75d07aef394527337b5c36c54ae;13bd76768a4c8c495bc83768bdf6fbf5
GSE280522	SRR30827776	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_2.fastq.gz	606911801;571533592	63285c948ca24cf50f7e28ab135562d6;a11c19c312aa0a1521f6c105f9f1e95e
