gse	run	layout	fastq_ftp
GSE162345	SRR16201705	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/005/SRR16201705/SRR16201705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/005/SRR16201705/SRR16201705_2.fastq.gz
GSE162345	SRR16201701	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16201701/SRR16201701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16201701/SRR16201701_2.fastq.gz
GSE162345	SRR16201698	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/098/SRR16201698/SRR16201698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/098/SRR16201698/SRR16201698_2.fastq.gz
GSE162345	SRR16201696	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/096/SRR16201696/SRR16201696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/096/SRR16201696/SRR16201696_2.fastq.gz
GSE221985	SRR22944187	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/087/SRR22944187/SRR22944187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/087/SRR22944187/SRR22944187_2.fastq.gz
GSE162345	SRR16201699	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/099/SRR16201699/SRR16201699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/099/SRR16201699/SRR16201699_2.fastq.gz
GSE280522	SRR30827783	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/083/SRR30827783/SRR30827783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/083/SRR30827783/SRR30827783_2.fastq.gz
GSE280522	SRR30827778	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/078/SRR30827778/SRR30827778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/078/SRR30827778/SRR30827778_2.fastq.gz
GSE280522	SRR30827782	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30827782/SRR30827782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30827782/SRR30827782_2.fastq.gz
GSE280522	SRR30827779	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_2.fastq.gz
GSE280522	SRR30827781	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/081/SRR30827781/SRR30827781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/081/SRR30827781/SRR30827781_2.fastq.gz
GSE280522	SRR30827780	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30827780/SRR30827780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30827780/SRR30827780_2.fastq.gz
GSE280522	SRR30827785	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/085/SRR30827785/SRR30827785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/085/SRR30827785/SRR30827785_2.fastq.gz
GSE280522	SRR30827773	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/073/SRR30827773/SRR30827773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/073/SRR30827773/SRR30827773_2.fastq.gz
