gse	run	layout	fastq_ftp	fastq_bytes	fastq_md5
GSE280522	SRR30827777	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_2.fastq.gz	368658017;265931601	5ea64aecdbc222ff8ca44aa9718717c3;5e26e71c0bd8801747fb2a2d081e0434
GSE221985	SRR22944197	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/097/SRR22944197/SRR22944197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/097/SRR22944197/SRR22944197_2.fastq.gz	643662828;650547250	d4a17b835e2800516b1efd9c46f571e2;9236adcc39bca4556d8f0a11afd75b2b
GSE221985	SRR22944193	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/093/SRR22944193/SRR22944193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/093/SRR22944193/SRR22944193_2.fastq.gz	592542824;595655349	34df47d3e0971f226c3b11c0aefeb858;410ac43ed565158fb82d26ebfcf18e92
GSE221985	SRR22944186	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/086/SRR22944186/SRR22944186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/086/SRR22944186/SRR22944186_2.fastq.gz	439245543;442740523	b62b8e8dfca19d111525c7ff918c1edb;aad813aa8b5ef2f9655258ff70fa988a
GSE280522	SRR30827713	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_2.fastq.gz	443820493;417313083	0202b0e314e078892552cf84cdf2defc;411b9d89764384f94e0248b3bfb182bc
GSE280522	SRR30827752	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_2.fastq.gz	1238773422;1226167088	af27157caf22db88edd675b431cf3cbd;26d74ef13866d17f2478c0788743143c
GSE280522	SRR30827719	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30827719/SRR30827719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30827719/SRR30827719_2.fastq.gz	926376608;917891037	ec2ab2a3acb5c69065b9cf6dc3c59c52;ee6e9a6c6d980ead4ea2cf3f4af6bbce
GSE280522	SRR30827774	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30827774/SRR30827774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30827774/SRR30827774_2.fastq.gz	1859469829;1869235257	f5f8d8c471a47dbd43fa039688875f17;3190eecddaa601f2d79828f08c5ac169
GSE280522	SRR30827772	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/072/SRR30827772/SRR30827772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/072/SRR30827772/SRR30827772_2.fastq.gz	821205116;783700852	44c243307e2dc503e8216590561cf337;dbe86b6d2c1f8721c8fe497580e8e453
GSE280522	SRR30827778	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/078/SRR30827778/SRR30827778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/078/SRR30827778/SRR30827778_2.fastq.gz	623956599;607297005	b56f3fbd1023a53af80b0ed0a1049159;8174c52ab98bf71791333950acddc4b7
