gse	run	layout	fastq_ftp
GSE162345	SRR16201707	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/007/SRR16201707/SRR16201707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/007/SRR16201707/SRR16201707_2.fastq.gz
GSE162345	SRR16201702	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR16201702/SRR16201702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR16201702/SRR16201702_2.fastq.gz
GSE280522	SRR30827713	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_2.fastq.gz
GSE221985	SRR22944186	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/086/SRR22944186/SRR22944186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/086/SRR22944186/SRR22944186_2.fastq.gz
GSE221985	SRR22944185	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/085/SRR22944185/SRR22944185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/085/SRR22944185/SRR22944185_2.fastq.gz
GSE280522	SRR30827730	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/030/SRR30827730/SRR30827730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/030/SRR30827730/SRR30827730_2.fastq.gz
GSE280522	SRR30827776	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_2.fastq.gz
GSE221985	SRR22944197	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/097/SRR22944197/SRR22944197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/097/SRR22944197/SRR22944197_2.fastq.gz
GSE280522	SRR30827770	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_2.fastq.gz
GSE280522	SRR30827775	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_2.fastq.gz
