species	data_zga	maternal_share_before	maternal_share_after	ratio	delta_sim	ci_lo	ci_hi
Mouse	Early-2-cell->Late-2-cell	0.4670997428242475	0.16615849689124484	0.3557238029860449	-0.13368171741124724	-0.17594991954826658	-0.09104047314178462
Cow	8-cell->16-cell	0.3193479663965165	0.11504690202672535	0.3602556275053214	-0.14756569654861754	-0.19437897489056308	-0.10249247360019602
Pig	Day2->Day3	0.2775981521715479	0.14575820605629236	0.525069078868428	-0.025093439945716896	-0.0697426448175648	0.022131086066378185
Rabbit	16-cell->Morula	0.08196301720403963	0.10226123818864435	1.2476509732929195	0.013235521605467936	-0.02305519149568209	0.04891553168516144
