gse	variant	run	stage	arm	tAge
GSE248499	V0	SRR26923903	L2C	control	-0.01868736411528687
GSE248499	V0	SRR26923894	L2C	SCNT_Kdm3a	-0.1594777515114464
GSE235547	V0	SRR24991731	L2C	control_siCtrl	-0.15287577116570888
GSE235547	V0	SRR24991729	L2C	siObox3	0.012130220110807787
GSE235547	V0	SRR24991727	L2C	control_ICSI	0.027788016723195606
GSE235547	V0	SRR24991732	L2C	control_siCtrl	-0.05936025180545356
GSE235547	V0	SRR24991723	L2C	SCNT_Obox3	-0.06905522823300497
GSE235547	V0	SRR24991730	L2C	siObox3	-0.00612544863475363
GSE235547	V0	SRR24991726	L2C	SCNT_EGFP	0.04599402360763301
GSE235547	V0	SRR24991728	L2C	control_ICSI	0.052068957997810236
GSE235547	V0	SRR24991725	L2C	SCNT_EGFP	-0.0634996145490817
GSE235547	V0	SRR24991724	L2C	SCNT_Obox3	0.037255305571500814
GSE162345	V0	SRR16201705	NT54hpi	alpha-amanitin_54hpi	0.20551450965656898
GSE162345	V0	SRR16201707	NT54hpi	alpha-amanitin_54hpi	0.20490069325321927
GSE162345	V0	SRR16201704	NT54hpi	control_54hpi	0.03458432719208294
GSE162345	V0	SRR16201701	NT45hpi	alpha-amanitin_45hpi	0.009495814802057443
GSE162345	V0	SRR16201702	NT54hpi	control_54hpi	0.2231070456660898
GSE162345	V0	SRR16201698	NT45hpi	control_45hpi	-0.10751591990258563
GSE162345	V0	SRR16201697	NT45hpi	control_45hpi	-0.11165844862964747
GSE162345	V0	SRR16201696	NT45hpi	control_45hpi	-0.002081862096389983
GSE162345	V0	SRR16201706	NT54hpi	alpha-amanitin_54hpi	0.10071936995869096
GSE162345	V0	SRR16201700	NT45hpi	alpha-amanitin_45hpi	0.07140251736843808
GSE162345	V0	SRR16201699	NT45hpi	alpha-amanitin_45hpi	0.16270809117935567
GSE162345	V0	SRR16201703	NT54hpi	control_54hpi	-0.03783720663284574
