	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
Day2_8	Pig	Day2	5.988752428978017	4.034146977106046	0.061733612845818436	0.029929530755345643	0.1929203674331748	
Day3_1	Pig	Day3	5.855554285460269	4.0442652999153195	0.22220362505844285	0.021001314083525617	-0.09212228717591134	
Day3_10	Pig	Day3	5.983064452807566	4.031892987710475	0.05694180491971174	0.062283836929686996	-0.4787407190154871	
Day3_11	Pig	Day3	5.930040288508853	4.018492453401473	0.1803524135627859	0.16877540528512275	-0.40247582017516204	
Day3_12	Pig	Day3	5.902247181306144	4.012415374762433	-0.1711036359061374	0.02733355142365612	-0.8749024055299206	
Day3_2	Pig	Day3	5.986309882990602	4.022304622935069	-0.017679098777951936	-0.09066004044316267	-0.880671219342759	
Day3_3	Pig	Day3	5.8291441805018795	4.022304622935069	-0.04293252123665237	0.010502112432026763	-0.6951092698855524	
Day3_4	Pig	Day3	6.135184827213185	4.019905199804614	0.01849841820959347	0.06102996174169118	-0.6227337000852852	
Day3_5	Pig	Day3	6.187574581292616	4.054459837239404	-0.01705822121815171	0.0932410483184572	-0.20060283928037048	
Day3_6	Pig	Day3	6.1134131895738495	4.040918650748524	0.012593188357631197	0.021467457406709436	-0.6235937645145575	
Day3_7	Pig	Day3	6.022468375577283	4.053501002386415	0.09386629261548088	-0.0005473124145470298	0.16909526519104356	
Day3_8	Pig	Day3	6.047974627530392	4.056409320649918	0.10988573485417757	0.09740045626603994	-0.07957571238033156	
Morula_1	Pig	Morula	6.187964940393698	4.054574755294823	-0.1281114267398747	0.025418682027228114	-0.8995049380890285	
Morula_10	Pig	Morula	6.123243856675679	4.048325250931222	-0.0583294784100191	-0.09205906798104349	-0.6529589523416786	
Morula_11	Pig	Morula	6.071828269240602	4.002986340856785	-0.10363631563834425	-0.058376659706319896	-1.3708673050724032	
Morula_12	Pig	Morula	6.126811712766874	4.02143739646709	-0.05804228817178409	-0.004811392378141689	-0.8464595865001624	
Morula_2	Pig	Morula	6.0642535231831864	4.04871363808097	-0.17999192585332144	0.014418345546416786	-0.6673000466174235	
Morula_3	Pig	Morula	6.130952599157675	4.056714329516394	-0.011994039719367432	-0.015814833330356347	-0.7198182748278025	
Morula_4	Pig	Morula	6.085587024865149	4.072948031792886	0.026278568549817916	0.0812689250546772	-0.0028490666400790843	
Morula_5	Pig	Morula	6.073972255921017	4.0492567972322275	-0.09197769228524177	-0.009945013692788884	-0.8774377996633724	
Morula_6	Pig	Morula	5.97752378386472	4.025264892154508	-0.19113392272540525	-0.04353914460936894	-0.8062017019663061	
Morula_7	Pig	Morula	6.043750022211495	4.049528122277718	0.09191365820522782	0.1199276776456932	-0.0013086598425369744	
Morula_8	Pig	Morula	6.186682061657949	4.044578954876613	-0.24227134202895698	-0.08721888162432812	-0.993200158011547	
Morula_9	Pig	Morula	6.116099441630092	4.029789470831855	-0.1944936165147959	-0.08004134045189867	-1.5187218926021204	
Oocyte_1	Pig	Oocyte	6.150179043041049	4.042299807413626	-0.02593243876749108	0.10431750190860897	0.3161417026468949	
Oocyte_10	Pig	Oocyte	6.230989664428048	4.051808294317092	0.06452847106139645	0.0200790387864267	0.07640457702326851	
Oocyte_11	Pig	Oocyte	6.143575584005221	4.039136399222095	0.0021449362637117678	0.020268395613846635	-0.06298366098057498	
Oocyte_12	Pig	Oocyte	6.141612485757787	4.040720983601194	0.01060872226424869	-0.011675666176468702	-0.1252403732631473	
Oocyte_3	Pig	Oocyte	6.070917760829392	4.0385009430766745	0.059530302337728144	0.01520623931590271	0.027061439979217394	
Oocyte_4	Pig	Oocyte	5.92161521413563	4.020361282647708	0.1025145727242763	-0.017959820289237906	-0.0993073494752858	
Oocyte_5	Pig	Oocyte	6.200294694166631	4.052463077483329	0.06608089271849496	0.0024739299995074904	0.03808926454418228	
Oocyte_6	Pig	Oocyte	6.136314295996869	4.040404528914159	-0.03652360708979758	-0.03879510612738595	-0.15935767832400954	
Oocyte_7	Pig	Oocyte	6.231214392945215	4.033584575515413	-0.04213923918470611	-0.0032759544422095235	0.0030178229892148523	
Oocyte_8	Pig	Oocyte	6.146730666286335	4.042496757433736	-0.05143512181558777	0.031090077346536394	-0.08138560737472289	
Oocyte_9	Pig	Oocyte	6.240349526742219	4.056065929431753	0.04684355455529283	0.03266139526727265	0.282406368951049	
Zygote_1	Pig	Zygote	6.451259745231232	4.048053173115609	0.05597591245469628	-0.03167981451106396	-0.09184157806734389	
Zygote_10	Pig	Zygote	6.364203608470419	4.043087072166329	0.0679567732870181	-0.0905729940802788	0.09686356541758775	
Zygote_11	Pig	Zygote	6.196687030560624	4.030194785356751	0.09872936251841988	-0.03214378324754976	0.11514334496853662	
Zygote_12	Pig	Zygote	6.26842701895937	4.029708362514895	0.1600151101691509	-0.012697502486140481	0.16263050162145468	
Zygote_2	Pig	Zygote	6.028084228316689	4.011316643366872	0.08189393048650415	-0.03307113550245964	0.05997465270279334	
Zygote_3	Pig	Zygote	6.167877125068224	4.026206297083118	0.13105153170436168	-0.0012151022208237508	-0.16651949860480086	
Zygote_4	Pig	Zygote	6.217429193337272	4.021767972682406	0.14556530231024453	0.07287397901640423	-0.07630294284735331	
Zygote_5	Pig	Zygote	6.163874571123697	4.0217266644137775	0.17401964413024934	-0.029749365223471873	-0.09754618958539912	
Zygote_6	Pig	Zygote	6.106414278704369	4.01292154554456	0.09750717399491868	-0.016202061944967476	0.2411524938591728	
Zygote_7	Pig	Zygote	6.018817792254601	4.024854948305018	0.1976907128498718	-0.008533769355669206	0.428217833579846	
Zygote_8	Pig	Zygote	5.695930623937851	3.9882913419074875	0.1864072404327483	-0.013299017052609864	0.0012753672439769492	
Zygote_9	Pig	Zygote	6.311942155740375	4.041234731171431	0.08576302205156293	-0.0502063121128612	0.10776527175733003	
16-cell_1	Rabbit	16-cell	6.028509845292598	3.942950070077099	0.03562119700941876	-0.21061796606596936	1.0716422938760708	
16-cell_10	Rabbit	16-cell	6.072880104865371	3.9665640840973104	-0.026846851892720354	-0.21480865205148456	0.8612898608816106	
16-cell_11	Rabbit	16-cell	5.925068570749381	3.9588504516796785	-0.029001075111860883	-0.08038565629839625	0.5852444665130387	
16-cell_12	Rabbit	16-cell	5.7612969772083025	3.9423553497076766	0.07421815468656065	-0.14224419219771506	1.8752939155483277	
16-cell_2	Rabbit	16-cell	6.035915795853265	3.951531790542348	-0.0171264851764732	-0.1794602919560901	1.0116220046332347	
16-cell_3	Rabbit	16-cell	5.78679045012473	3.9248992640142837	-0.13167516009373037	-0.13767346381661616	1.319719319362893	
16-cell_4	Rabbit	16-cell	5.899839645968478	3.9673139182870836	0.10861240522672849	-0.012151150250770015	1.4246131256169023	
16-cell_5	Rabbit	16-cell	5.905016688700436	3.950413539369381	-0.09923547179815334	-0.16281073745592503	0.39262610901296574	
16-cell_6	Rabbit	16-cell	5.901860824432784	3.946452265013073	0.1164639382794117	-0.026047707294227854	0.9201926287467832	
16-cell_7	Rabbit	16-cell	6.070550954918986	3.9453700944903036	0.08549719598115221	-0.043397998590631405	0.4576280690140521	
16-cell_8	Rabbit	16-cell	6.046703482067816	3.9777693180915743	0.046336969232180565	-0.08988289645039979	1.3287197151899193	
16-cell_9	Rabbit	16-cell	5.911420770064857	3.934498451243568	-0.11245987826193354	-0.15172103994757727	0.33957927702170465	
2-cell_1	Rabbit	2-cell	6.18695294693868	4.035029282202368	0.14960317706638007	0.059460659334363807	0.6215444663076051	
2-cell_10	Rabbit	2-cell	6.0628466164136094	4.009960531470598	0.21812343883412738	0.1790058441510109	0.5380618073645431	
2-cell_12	Rabbit	2-cell	5.7364538731709365	3.960898677326661	0.13500944898062978	0.014386646637950654	-0.045554811193341455	
2-cell_2	Rabbit	2-cell	6.230547775988189	3.99943504987633	0.09612011443103607	0.04113403461186415	0.05287534833012639	
2-cell_3	Rabbit	2-cell	6.183734645942214	4.012457578200774	0.07044987843421996	0.009401630937676757	0.26245222414314834	
2-cell_4	Rabbit	2-cell	6.199415889279327	4.004794110388712	0.07532192984717179	0.036910528976302946	0.06215310896153636	
2-cell_5	Rabbit	2-cell	6.307002416076236	4.031004281363537	0.11109217948376979	0.05932687999056026	0.12133595616786755	
2-cell_6	Rabbit	2-cell	6.167152744361959	4.0385009430766745	0.10450199095182777	0.07631977094497136	0.46181832707156795	
2-cell_7	Rabbit	2-cell	6.098588700161874	4.019282495761732	0.1413765099827693	0.14929967040822428	0.4069033226852651	
2-cell_8	Rabbit	2-cell	6.1122617196418645	4.030356805310842	0.050076009306312	0.06630913725627668	0.1993803600312552	
2-cell_9	Rabbit	2-cell	6.122294208100028	3.9920230277638504	0.14778293823766397	0.08955800447026985	0.4925912719088632	
4-cell_1	Rabbit	4-cell	6.154791461413533	4.002986340856785	0.06902422935840781	0.013985209634887103	0.20414547170575476	
4-cell_10	Rabbit	4-cell	5.957498101184036	3.970579305714851	0.05054365103972787	0.06827148617427324	0.06615785316373912	
4-cell_11	Rabbit	4-cell	6.0656939680659105	3.9825425823029432	0.12833075992883353	0.046135388790638235	0.3494259083920098	
4-cell_2	Rabbit	4-cell	5.96476436326733	3.9753858489894673	0.2228854046244753	0.028615012546967616	0.3811637895270741	
4-cell_3	Rabbit	4-cell	6.058899162805552	3.9893608137762473	0.06476646690275789	0.04645244786485955	0.2421607690202872	
4-cell_4	Rabbit	4-cell	6.121587089320786	4.006551609086649	0.08740029599016552	-0.16468305147255705	0.10724091454784193	
4-cell_5	Rabbit	4-cell	6.13671264200231	3.9981285071282664	0.18766509096824802	0.004029261825930844	0.18901481228487665	
4-cell_6	Rabbit	4-cell	6.089997256833892	3.9919787909945836	0.08154712028083913	0.013447127780239876	0.2712388131439224	
4-cell_8	Rabbit	4-cell	5.975151379753775	3.9809119377768436	0.05949473151933436	-0.02130598604460715	0.10588050578019001	
4-cell_9	Rabbit	4-cell	6.212347171647637	3.9910931080488874	0.22182231519699408	0.17132588041487545	0.3572495290745866	
8-cell_1	Rabbit	8-cell	5.81731278395763	3.939119717648487	0.0296176263056554	-0.09615214395124302	0.37267780366493486	
8-cell_11	Rabbit	8-cell	5.878308617193538	3.939918420369057	-0.10335264687105805	-0.19656008948844467	0.08349173739981262	
8-cell_12	Rabbit	8-cell	6.061337858474695	3.9477277269633158	0.09082665705750145	-0.19869844390560842	1.1330744419010137	
8-cell_13	Rabbit	8-cell	5.837515839340203	3.939619078956698	-0.009212245465731052	-0.10235921548027876	0.26533543103729645	
8-cell_14	Rabbit	8-cell	5.940515488843164	3.949731452315707	0.038909804078117456	-0.12179554842286522	1.1975583243983625	
8-cell_2	Rabbit	8-cell	5.987989631346831	3.9587549498690895	-0.05092443578896678	-0.018954719685980233	0.5236901513711747	
8-cell_3	Rabbit	8-cell	5.98369933986489	3.9854264740830017	-0.016133954183932264	0.09999588878929266	0.4320975341585944	
8-cell_4	Rabbit	8-cell	5.9541054437757595	3.9627480533586406	-0.03170843001294175	-0.09624893648326141	0.8058820975153796	
8-cell_5	Rabbit	8-cell	5.9673944484493555	3.9618954736678504	-0.02901465434940482	0.017922384181092307	0.4517272267848639	
8-cell_6	Rabbit	8-cell	5.703383387202328	3.95390459341346	-0.17295018862281306	0.046894113024247744	0.5201646588491404	
8-cell_7	Rabbit	8-cell	5.873787203103347	3.949877704036875	0.0016165142718507879	-0.06956679408994493	0.22559817619819267	
8-cell_8	Rabbit	8-cell	5.768111005242077	3.9387698227831174	0.06681655551138205	-0.028139656934397253	1.0876997351560007	
8-cell_9	Rabbit	8-cell	6.096626065330471	3.958229314188382	0.0425141547131869	-0.19580614426072415	0.5490736549240699	
Morula_1	Rabbit	Morula	5.952494580491611	3.950997333988805	-0.0008126134916702429	-0.0004940472108826352	0.500397379414641	
Morula_11	Rabbit	Morula	5.883221808888178	3.9817733186277473	-0.0008783719356700581	-0.005942473921651245	1.3686644089453974	
Morula_12	Rabbit	Morula	5.529785704137245	3.9233994661587164	0.06040415961819952	0.006367460315317215	0.9815406338287851	
Morula_2	Rabbit	Morula	5.998718680144092	3.9654839242451385	-0.03717875065560238	-0.05936819038837187	0.35730317529919636	
Morula_3	Rabbit	Morula	5.556163745644334	3.8924285469452298	-0.17954013173095956	-0.061695689928386956	0.6530224918769498	
Morula_4	Rabbit	Morula	5.8570030315112485	3.956936413844196	-0.08189413763471173	-0.12133648379273343	0.3502435783936706	
Morula_5	Rabbit	Morula	5.924769658473078	3.9439394644722165	-0.019210927244520566	-0.01654319994038289	0.7207707992817727	
Morula_6	Rabbit	Morula	5.765945580532517	3.933689708957895	-0.08261515370547601	-0.1302527584854709	1.03275239171677	
Morula_7	Rabbit	Morula	5.819049479694427	3.933892035764211	-0.08153020620792117	-0.05759982370391318	1.3351796908302445	
Morula_8	Rabbit	Morula	6.031351497239335	3.9507541815935037	0.046428299683710025	0.005089755738190989	1.1987184767581542	
Morula_9	Rabbit	Morula	5.867390286184711	3.9262909868848634	0.02766969249178907	-0.035895730374004765	1.093069700329805	
Oocyte_1	Rabbit	Oocyte	6.119737438273207	3.986323777050765	-0.12261815400004236	-0.050060989103681515	-0.3033783945700647	
Oocyte_10	Rabbit	Oocyte	6.270599421689528	3.9978230807457256	0.03715177753537355	-0.06814823542045778	-0.17606379210805706	
Oocyte_11	Rabbit	Oocyte	6.143095402828858	3.9875322027298394	-0.005887138512643712	-0.016583009748205257	-0.19156196220680738	
Oocyte_12	Rabbit	Oocyte	6.0953775535701675	3.9834909718151663	-0.0067463153658384525	-0.03257679272337561	0.12094582877240387	
Oocyte_13	Rabbit	Oocyte	6.120225039472369	3.99140330258004	-0.040403565192326955	-0.06712173834003038	-0.08938539342193719	
Oocyte_2	Rabbit	Oocyte	6.100712331325757	3.985022082109535	-0.04444571465077204	-0.004928082913343568	0.029941495188438125	
Oocyte_3	Rabbit	Oocyte	6.1680160750891435	3.986906031380721	0.013788143028864285	0.05297952055792281	0.14905084043570485	
Oocyte_4	Rabbit	Oocyte	6.445562328417723	4.000867721531227	-0.020087058816603713	0.04072095264212802	-0.06699642720545781	
Oocyte_5	Rabbit	Oocyte	6.003512230756304	3.9734511440249345	0.07357189156838306	0.07465732895308919	-0.05227058237331178	
Oocyte_6	Rabbit	Oocyte	6.174922013397443	3.988514365833666	0.10298213974375178	0.02342886480656333	0.23063186890948412	
Oocyte_7	Rabbit	Oocyte	6.184021305785864	3.983581186705791	0.02525825910806862	0.06679602989682708	0.11800934023254049	
Oocyte_8	Rabbit	Oocyte	5.688663599243866	3.937517892017347	-0.06798194310418068	-0.02256321352479354	0.03505157277243444	
Oocyte_9	Rabbit	Oocyte	6.189569473287431	3.9873980991370175	-0.08462809119615872	-0.07593656802295612	-0.011313672096952165	
Zygote_1	Rabbit	Zygote	6.3897336641421925	4.010935664704385	0.09773287076053308	0.08286421684985959	0.35184299969240546	
Zygote_10	Rabbit	Zygote	6.134170092484426	4.023046584075505	0.16727433080095216	0.21206559956104684	0.7761752321523776	
Zygote_11	Rabbit	Zygote	6.076717248392071	3.9817733186277473	0.030539528614891287	0.05166277454208559	0.1359546714015384	
Zygote_2	Rabbit	Zygote	6.429329888762168	4.0178260380304245	0.08253072729778724	0.019924355311319704	0.25920656110977175	
Zygote_3	Rabbit	Zygote	6.238160561041218	4.001257631312231	0.11516602429562262	0.0005951865252665223	0.3347132700726415	
Zygote_4	Rabbit	Zygote	6.021233967062334	3.99409708958821	0.0903072211189707	0.09542493757050358	0.6688519595424607	
Zygote_5	Rabbit	Zygote	6.175410620818075	4.001517376823505	0.2523626225122575	0.1429720446722086	0.6005223729827092	
Zygote_6	Rabbit	Zygote	6.299136257551878	4.006294857981385	0.15371366438194467	0.12417998756854662	0.586434462838372	
Zygote_7	Rabbit	Zygote	6.176993075555163	3.9902944461284386	0.08272399676904937	0.06023480280849337	0.43395905325189904	
Zygote_8	Rabbit	Zygote	6.198405508119378	4.027879409207207	0.17457878109874583	0.11334071392174455	0.7761671297293181	
Zygote_9	Rabbit	Zygote	6.070010884069839	4.000997730357794	0.05556123412849639	0.11284434730991025	0.5375758814725491	
16-cell_1	Rhesus	16-cell	5.81679988755523	3.9573678084315276	-0.43710483233929814	-0.36143669852776705	-0.9522870113215045	
16-cell_2	Rhesus	16-cell	6.17301193268741	4.017659274283765	-0.461998063235229	-0.3726064960602019	-1.177280656801366	
16-cell_3	Rhesus	16-cell	6.303285283886355	4.001949941084268	-0.4223809179969863	-0.3466305793639082	-0.9125988207893418	
2-cell_1	Rhesus	2-cell	6.176952623601859	4.021396056741971	0.014639632476378131	-0.01567884051635767	-0.20414758618877016	
2-cell_2	Rhesus	2-cell	6.221635893166133	3.9998262474544126	-0.033795292654617164	-0.11217523014754346	-0.5596658851901902	
4-cell_2	Rhesus	4-cell	6.068710039392246	4.05789421972453	-0.38231866231115874	-0.5240125289853192	-1.4339057227955236	
8-cell_1	Rhesus	8-cell	6.053636518286688	4.070628844051428	-0.14193615279666857	-0.18643552544860492	-0.4302954692028388	
8-cell_2	Rhesus	8-cell	5.690638126303277	3.953421399681035	-0.05820572995772138	-0.14751530670623178	0.14147435579089132	
Oocyte_1	Rhesus	Oocyte	5.844871527402772	3.963882228928777	0.06225288516654865	0.007638509016374619	-0.13859109598725433	
Oocyte_2	Rhesus	Oocyte	6.137304728141038	3.985965078304871	0.04669243627209339	0.054491385986558484	0.018889415990180097	
Oocyte_3	Rhesus	Oocyte	5.99011010165132	3.9864582127373063	0.10171781917234193	0.03916321913120555	0.13897003813450295	
Oocyte_4	Rhesus	Oocyte	6.06615739386298	3.9732202468522337	0.05259365955107344	-0.030815490166686103	-0.10779077896275863	
Oocyte_5	Rhesus	Oocyte	6.04828950186008	3.9927743642553555	-0.11357947754434489	-0.03467835790706215	0.03771570966258041	
Oocyte_6	Rhesus	Oocyte	5.975764410433464	3.9885589568786157	-0.07187385814444072	-0.02602561979476499	-0.0013846481950997303	
Zygote_1	Rhesus	Zygote	5.988736829584054	4.020568434801363	-0.40394481546200406	-0.2826104112964531	-0.8198118403903765	
Zygote_2	Rhesus	Zygote	6.214212868459583	4.029099566823543	-0.03627362925204771	-0.002307856405922487	-0.14772776596106257	
Zygote_3	Rhesus	Zygote	6.331130984351034	4.030235296012244	0.17498758703657294	0.07082442728033028	0.009044780801928137	
Zygote_4	Rhesus	Zygote	5.9374602162877315	3.9860099318532614	-0.05760455642252483	-0.08184577984510014	-0.5366884509889578	
