species	analysis	interval	cell_number	delta	ci_lo	ci_hi	ci_excludes_0	p_boot_most_negative	is_zga	feature_coverage	n_genes_mapped	n_genes_raw
Cow	primary	8-cell->16-cell	8->16	-0.3139086126413045	-0.3762353243191	-0.24934615692372156	True	0.1505	True	0.6630113473824736	14695.0	16407.0
Cow	primary	16-cell->Morula	16->morula	-0.38869774292619663	-0.468109163216747	-0.3078584280908204	True	0.8495	False	0.6630113473824736	14695.0	16407.0
Cow	primary_residualised_depth_detected	Oocyte->Zygote	fertilisation	0.21150996876336534	0.15632179825381765	0.2735125371837602	True	0.0	False			
Cow	primary_residualised_depth_detected	Zygote->2-cell	1->2	0.06733534268749673	0.011901353099703036	0.11900321081211555	True	0.0	False			
Cow	primary_residualised_depth_detected	2-cell->4-cell	2->4	-0.10129365437028555	-0.1662522289265289	-0.033799861882564765	True	0.035	False			
Cow	primary_residualised_depth_detected	4-cell->8-cell	4->8	-0.05354578596644272	-0.13899222918626727	0.029247214939701595	False	0.004	False			
Cow	primary_residualised_depth_detected	8-cell->16-cell	8->16	-0.04232281434339307	-0.13167918106838727	0.050296530555843245	False	0.013	True			
Cow	primary_residualised_depth_detected	16-cell->Morula	16->morula	-0.22184103433422578	-0.33530274357001194	-0.10541535878291765	True	0.948	False			
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	Oocyte->Zygote	fertilisation	-0.05693895150363558	-0.09667648974814809	-0.01758659061060064	True	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	Zygote->2-cell	1->2	0.015921220276686063	-0.023241819315443436	0.05820906992217843	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	2-cell->4-cell	2->4	0.050395973499726396	0.016441796254937538	0.08218007264871967	True	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	4-cell->8-cell	4->8	-0.04472046482087706	-0.0842839719176395	-0.006045957577858354	True	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	8-cell->16-cell	8->16	-0.17135171869199245	-0.24065036545659188	-0.10257565645308166	True	0.018	True	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	16-cell->Morula	16->morula	-0.31411508335080907	-0.38326609588201266	-0.24276752780713481	True	0.982	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	Oocyte->Zygote	fertilisation	-0.019803283862126098	-0.22473448535210888	0.1945597579076127	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	Zygote->2-cell	1->2	0.09711610807592305	-0.09572392286694772	0.2919950183416796	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	2-cell->4-cell	2->4	0.07473613144834654	-0.11718647560966947	0.2567977011532253	False	0.0	False	0.6630113473824736	14695.0	16407.0
