gse	arm	reference	n	n_ref	diff	ci_lo	ci_hi
GSE248499	SCNT_control	control	2	3	-0.1366976812846381	-0.19270288016205633	-0.08069248240721989
GSE248499	SCNT_Kdm3a	control	2	3	-0.16824066799575324	-0.1900876057049726	-0.1375526194019569
GSE248499	SCNT_Kdm4d	control	2	3	-0.2460796154657203	-0.31124292969120754	-0.180916301240233
GSE235547	siObox3	control_siCtrl	2	2	0.1091203972236083	0.05323480317069993	0.16500599127651666
GSE235547	SCNT_Obox3	control_ICSI	2	2	-0.055828448691255	-0.12112418623081521	0.009467288848305208
GSE235547	SCNT_EGFP	control_ICSI	2	2	-0.04868128283122727	-0.11556857254689194	0.018206006884437402
GSE162345	alpha-amanitin_54hpi	control_54hpi	3	3	0.09709346888105078	-0.05272885470993005	0.21900659954665525
GSE162345	alpha-amanitin_45hpi	control_45hpi	3	3	0.15495421799282477	0.06735793035597286	0.24255050562967667
