species	interval	cell_number	d_zygotic	d_zygotic_lo	d_zygotic_hi	p_boot_max_zygotic	d_maternal	d_maternal_lo	d_maternal_hi	d_clock	d_clock_lo	d_clock_hi	literature_zga
Mouse	Oocyte->Zygote	fertilisation	-2.034731607022952e-05	-4.305788885488328e-05	1.9031509693605514e-06	0.0	-0.044589562886371614	-0.054158779438514194	-0.0347659029508067	0.1192967312721122	0.0760222920507095	0.1655768210985264	False
Mouse	Zygote->Early-2-cell	1->2	0.0023871430319081623	0.0014261697353247513	0.003522183024446282	0.0	-0.02166806547523692	-0.03655358528748062	-0.006366076623933668	-0.0116043166026966	-0.0574472639403561	0.0352437401827646	False
Mouse	Early-2-cell->Late-2-cell	within-2-cell	0.028720703671811346	0.025481933690396964	0.03176144310494474	1.0	-0.35560923042344184	-0.3784895605165049	-0.32947266660500213	-0.1907261065003133	-0.2512696888293595	-0.1326768230446042	True
Mouse	Late-2-cell->4-cell	2->4	-0.0018591270898592506	-0.0054222417384732395	0.0017623160927914617	0.0	-0.04481115735351138	-0.0716309181923219	-0.02207073652316385	0.0568559430993802	-0.0081465521132477	0.1234360525157543	False
Mouse	4-cell->8-cell	4->8	0.0009838545475428402	-0.0018916264355144771	0.003608541328550542	0.0	0.05553247047647197	0.03894574625139819	0.06974860553249008	0.116525920257629	0.0655821308557517	0.1663711716533636	False
Mouse	8-cell->16-cell	8->16	0.003943333589677175	0.001323971276588458	0.006549432137638766	0.0	0.00922938595757633	-0.0016160696431834292	0.021549409314600778	-0.0407668957179821	-0.0986418615762571	0.0246785954030344	False
Pig	Oocyte->Zygote	fertilisation	-2.2287666709677285e-07	-5.688314840744012e-06	6.274124680226717e-06	0.0	-0.04995227387246398	-0.06974605623736385	-0.03183123976189109	0.1057096995414879	0.0672195112790183	0.1444347287646402	False
Pig	Zygote->2-cell	1->2	6.321306022413691e-05	6.184525195362831e-06	0.0001691989843609544	0.0	-0.02457135171930691	-0.056637360545394706	0.006050280848901161	0.0635766915299341	0.0029497087881901	0.1306709063821209	False
Pig	2-cell->4-cell	2->4	1.753281020535686e-05	-0.00010378099649331145	0.0001084458526094867	0.0	-0.009843806560767998	-0.037587500548451926	0.020077449605633478	-0.0365358900517497	-0.1119436627317178	0.0305452043857273	True
Pig	4-cell->Day2	4->8	0.0004302518820210749	0.00016619803618493552	0.0007324859099007951	0.0	-0.06529597282811422	-0.09258651428376811	-0.03782114008765062	-0.0479532887413672	-0.1042604178795661	0.0056154415621692	False
