gse	arm	reference	n	n_ref	diff	ci_lo	ci_hi
GSE248499	SCNT_control	control	2	3	-0.1366976812846381	-0.1927028801620563	-0.0806924824072198
GSE248499	SCNT_Kdm3a	control	2	3	-0.1682406679957532	-0.1900876057049726	-0.1375526194019569
GSE248499	SCNT_Kdm4d	control	2	3	-0.2460796154657203	-0.3112429296912075	-0.180916301240233
GSE235547	siObox3	control_siCtrl	2	2	0.1091203972236083	0.0532348031706999	0.1650059912765166
GSE235547	SCNT_Obox3	control_ICSI	2	2	-0.055828448691255	-0.1211241862308152	0.0094672888483052
GSE235547	SCNT_EGFP	control_ICSI	2	2	-0.0486812828312272	-0.1155685725468919	0.0182060068844374
GSE162345	alpha-amanitin_54hpi	control_54hpi	3	3	0.0970934688810507	-0.05272885470993	0.2190065995466552
GSE162345	alpha-amanitin_45hpi	control_45hpi	3	3	0.1549542179928247	0.0673579303559728	0.2425505056296766
