gse	run	arm	stage	PC1	PC2	var_PC1	var_PC2	n_events
GSE280522	SRR30827713	A485+Dux	E2C	-3.263450986083347	6.740155318162529	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827730	A485	E2C	-7.356893253206126	4.669860508348636	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827783	A485+Dux	E2C	-4.4618747470344005	9.585775381742552	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827776	A485	L2C	4.93994208170675	9.242433950555801	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827778	A485	L2C	6.1807694853911315	13.067425861888676	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827772	A485+Dux	L2C	9.079451931329357	-0.7760276316829686	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827782	control	L2C	7.977727459732709	-3.7866111461869165	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827770	A485+Dux	L2C	7.791614940525525	-2.455769764360241	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827719	A485	E2C	-7.030516713420785	3.970557073797304	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827779	control	L2C	5.849791915312907	-7.4841091596790825	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827775	A485	L2C	2.8112208573169575	4.045814039637953	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827763	control	E2C	-1.365238054202644	-2.1842208601187525	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827781	control	L2C	8.819145502525592	-2.998455717967812	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827771	A485+Dux	L2C	7.957891951202729	2.2658065283158417	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827741	A485	E2C	-9.303524436980004	-2.097866788565656	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827780	control	L2C	8.701581497075637	-4.10271024975965	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827752	A485	E2C	-7.861162310261382	-0.7459774926842669	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827784	A485+Dux	E2C	-9.300413617857924	-1.7024776936329684	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827785	control	E2C	-3.7105631349196324	-3.3466373759191983	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827786	control	E2C	-6.715743100610761	-3.6667776390447777	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827773	A485+Dux	L2C	6.099256656520202	-6.40383866475837	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827714	A485+Dux	E2C	-8.990036927194431	-4.7982341073893355	0.2013606421272148	0.12663297270192705	13715
GSE280522	SRR30827774	control	E2C	-6.848976996868044	-7.038114370699277	0.2013606421272148	0.12663297270192705	13715
GSE221985	SRR22944191	control	L2C	12.423969517098444	10.173745177569568	0.36546357681779584	0.15983294247647928	13053
GSE221985	SRR22944186	Tardbp_matKO	L2C	10.849996750388131	-9.86674805189787	0.36546357681779584	0.15983294247647928	13053
GSE221985	SRR22944187	control	L2C	11.731338106723195	9.60525160571096	0.36546357681779584	0.15983294247647928	13053
GSE221985	SRR22944185	Tardbp_matKO	L2C	9.37450861541827	-11.893393540854376	0.36546357681779584	0.15983294247647928	13053
GSE221985	SRR22944193	Tardbp_matKO	E2C	-12.58016280669583	0.22918348663293397	0.36546357681779584	0.15983294247647928	13053
GSE221985	SRR22944197	control	E2C	-9.715152612707731	0.8244995344894617	0.36546357681779584	0.15983294247647928	13053
GSE221985	SRR22944198	Tardbp_matKO	E2C	-12.172598861188623	0.1971238636576066	0.36546357681779584	0.15983294247647928	13053
GSE221985	SRR22944194	control	E2C	-9.911898709035883	0.7303379246916784	0.36546357681779584	0.15983294247647928	13053
GSE300734	SRR34172921	Brg1_matKO	L2C	1.9812176750822978	-3.8470855677638585	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172922	control	E2C	-4.982208345967624	7.939748947827777	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172933	control	E2C	-3.1210569945975464	-4.377253415620493	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172920	Brg1_matKO	L2C	1.2334470029231532	-3.5723003798815505	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172935	control	L2C	1.6259460518556519	-2.9129420603809075	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172936	control	L2C	6.8588443230756	3.6039015824389606	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172937	control	L2C	4.960247553598499	-0.0031529173585259467	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172934	Brg1_matKO	L2C	5.256664878742073	3.176626441446078	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172939	Brg1_matKO	E2C	-4.48266209800219	1.0388522710616215	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172932	Brg1_matKO	E2C	-3.8801647291168138	0.13536112483532584	0.20742142861439114	0.14425926020024	5732
GSE300734	SRR34172938	Brg1_matKO	E2C	-5.450275317593091	-1.1817560266044376	0.20742142861439114	0.14425926020024	5732
