species	variant	interval	cell_number	delta	ci_lo	ci_hi	data_zga	n_genes
Pig	V2_drop_all_dynamic	Zygote->2-cell	1->2	0.0640691404102759	0.0087396701349983	0.125304073088574	False	13682
Pig	V2_drop_all_dynamic	2-cell->4-cell	2->4	-0.0371957581086531	-0.1027836515828601	0.022110986195393	False	13682
Pig	V2_drop_all_dynamic	4-cell->Day2	4->8	-0.0301515857882881	-0.0805064348097626	0.0238394039203894	False	13682
Pig	V2_drop_all_dynamic	Day2->Day3	8->16	-0.0557237134966043	-0.1099560832537148	-0.0007160217241946	True	13682
Pig	V2_drop_all_dynamic	Day3->Morula	16->morula	-0.0571828983265127	-0.124297621998053	0.0113583885098224	False	13682
Rabbit	V0_original	Oocyte->Zygote	fertilisation	0.1291810244162632	0.0804490172157681	0.1779814668146903	False	14052
Rabbit	V0_original	Zygote->2-cell	1->2	-0.0002757623839402	-0.0432864757959671	0.0443199321540492	False	14052
Rabbit	V0_original	2-cell->4-cell	2->4	-0.0007845039241041	-0.0500093010164475	0.0468500265215632	False	14052
Rabbit	V0_original	4-cell->8-cell	4->8	-0.1283476406853748	-0.1842231245309241	-0.0722655303519096	False	14052
Rabbit	V0_original	8-cell->16-cell	8->16	0.0152000456111114	-0.0429920771096911	0.0749050911664616	False	14052
Rabbit	V0_original	16-cell->Morula	16->morula	-0.035942060671518	-0.0953503040010714	0.0244705477080741	True	14052
Rabbit	V1_drop_nonclock_dynamic	Oocyte->Zygote	fertilisation	0.1299316028394623	0.0803611267196305	0.1796834766219707	False	13586
Rabbit	V1_drop_nonclock_dynamic	Zygote->2-cell	1->2	0.0002011912565055	-0.0450120401654815	0.0438375051465708	False	13586
Rabbit	V1_drop_nonclock_dynamic	2-cell->4-cell	2->4	0.0009860917028212	-0.0457895717612453	0.0487598546022802	False	13586
Rabbit	V1_drop_nonclock_dynamic	4-cell->8-cell	4->8	-0.127658809015156	-0.1864450904255207	-0.0734093284744477	False	13586
Rabbit	V1_drop_nonclock_dynamic	8-cell->16-cell	8->16	0.0172071416788536	-0.0421217851093494	0.0765412433679405	False	13586
Rabbit	V1_drop_nonclock_dynamic	16-cell->Morula	16->morula	-0.0355500544587391	-0.0950731345754952	0.0286647197325412	True	13586
Rabbit	V2_drop_all_dynamic	Oocyte->Zygote	fertilisation	0.1236082384148689	0.0749080906246535	0.1756654850955344	False	12359
Rabbit	V2_drop_all_dynamic	Zygote->2-cell	1->2	-0.0185098587142045	-0.0678404881216408	0.0287772588510298	False	12359
Rabbit	V2_drop_all_dynamic	2-cell->4-cell	2->4	-0.0241153701783547	-0.0725893291817474	0.0275780955500937	False	12359
Rabbit	V2_drop_all_dynamic	4-cell->8-cell	4->8	-0.1144558310906298	-0.1679729142563591	-0.0644211871671746	False	12359
Rabbit	V2_drop_all_dynamic	8-cell->16-cell	8->16	0.0603124601576438	0.0109105082341303	0.1085093966262039	False	12359
Rabbit	V2_drop_all_dynamic	16-cell->Morula	16->morula	0.0244726987790391	-0.0203968770656418	0.073331024859494	True	12359
