species	data_zga	maternal_share_before	maternal_share_after	ratio	delta_sim	ci_lo	ci_hi
Mouse	Early-2-cell->Late-2-cell	0.4670997428242475	0.1661584968912448	0.3557238029860449	-0.1336817174112472	-0.1759499195482665	-0.0910404731417846
Cow	8-cell->16-cell	0.3193479663965165	0.1150469020267253	0.3602556275053214	-0.1475656965486175	-0.194378974890563	-0.102492473600196
Pig	Day2->Day3	0.2775981521715479	0.1457582060562923	0.525069078868428	-0.0250934399457168	-0.0697426448175648	0.0221310860663781
Rabbit	16-cell->Morula	0.0819630172040396	0.1022612381886443	1.2476509732929195	0.0132355216054679	-0.023055191495682	0.0489155316851614
