Unnamed: 0	control	A485	A485+Dux	symbol
16870	-0.0011353713113879	-0.0025954727479422	-0.0005108775757854	Lhx2
228576	-0.0	-0.0	-0.0	Mall
16453	0.0	0.0	0.0	Jak3
78177	-0.0010505042823033	-0.001359909464312	-0.0004337873162459	Ninl
217198	-0.0066215157834154	-0.0064788630866142	-0.0036925429819153	Plekhh3
212974	-0.0	-0.0	-0.0	Pgghg
70717	-0.0014892507651125	0.0026527528444188	-0.0039563332027858	Medag
243897	0.0	0.0	0.0	Ggn
93735	0.0	0.0	0.0	Wnt16
56508	0.0032454145676899	0.001831149215514	0.0031521443429486	Rapgef4
218820	-4.108146055964769e-05	0.0001285505359483	7.325821323455692e-05	Zfp503
93695	-0.0175144073420924	-0.0055770229320016	-0.0117413804930492	Gpnmb
78412	0.0004364250780599	-0.0003260714880126	-4.6817599569593866e-05	Cyren
224024	0.0	0.0	0.0	Scarf2
171531	-0.0008249467748394	-0.0012525462006339	-0.0005295857058389	Mlph
78558	-0.0	-0.0	-0.0	Htra3
73822	0.0009071128129141	0.0001652987625719	0.0008176603085829	Mfsd12
57890	0.0013218732955861	0.001388589056755	0.0024476302491678	Il17re
75695	-0.0050058000492121	0.0050201853362918	-0.0025740276204942	Rilpl1
12834	-0.0	-0.0	-0.0	Col6a2
211739	-0.0	-0.0	-0.0	Vstm2a
17300	0.0010663040695381	0.0004102344890908	0.0015070152902399	Foxc1
14580	0.0	0.0	0.0	Gfap
110310	-0.0006303320375343	-0.0023810837828922	-0.0010556324858365	Krt7
109857	0.0	0.0	0.0	Cbr3
237010	0.0	0.0	0.0	Klhl4
66336	0.0074531764091611	-0.0034069370798854	0.0035662974482076	Cenpp
107503	0.0	0.0	0.0	Atf5
18712	-0.0006198695685545	-0.0002099011511647	-0.000683427266558	Pim1
56527	0.0023703561571455	0.0008374517598196	0.0003892518068968	Mast1
16510	0.0001138225319229	6.262979342212171e-06	6.762507758882953e-05	Kcnh1
22224	0.000418536416533	-0.0001641875361756	0.0001343532616409	Usp10
244058	-0.0008423425273035	-0.0012090728509193	-0.0008631756715977	Rgma
12297	-5.073922092316119e-05	3.987392423808946e-05	-0.0001218394744645	Cacnb3
56794	0.0013727898586475	0.0010914806169834	0.0011908910070615	Hacl1
216850	0.0012079902433133	0.0006424679587003	0.0007965809041356	Kdm6b
229599	0.0026731224628851	-0.0009604897612228	0.002554866861961	Ciart
27528	0.006231354929582	-0.0017839555705296	0.0021531742386276	Nrep
68603	0.0206318268540014	0.0080624431383931	0.0186925593959895	Pmvk
17153	0.0015895676292032	-0.0056890220775706	-0.0024912772241498	Mal
214901	0.0109069360005014	0.0031311139288054	0.0062647047424753	Chtf18
244757	-0.000290216632449	-0.0001282370754686	-0.0002465286993946	Glb1l2
208650	0.000672491373325	-3.037806673889585e-05	-2.8550544597370004e-05	Cblb
76787	-0.0003859834786384	-0.00153027119364	6.906449133347719e-05	Ppfia3
60363	0.0001039040915659	-7.901666718788633e-06	0.0001837262295348	Cldn15
18164	-0.0017550887921691	-0.0036437443452674	-0.0032330562369692	Nptx1
94332	-0.0	-0.0	-0.0	Cadm3
68845	-0.0013114064143035	0.0019049573747623	-0.0013392619676876	Pih1d1
19395	0.0007909113605852	0.0012011895776132	-0.0010059145639457	Rasgrp2
68680	0.0	0.0	0.0	Fitm1
74134	-0.0004256479343823	0.0001445538206909	-0.0003828672587516	Cyp2s1
18750	-0.0002986604947301	3.034463510638481e-05	-0.0013272907612269	Prkca
170638	-0.0	-0.0	-0.0	Hpcal4
18595	-0.0025288939992746	-0.0084014721298185	-0.0051243383420688	Pdgfra
70726	-0.0	-0.0	-0.0	Angptl6
67795	-0.0022637895242163	-0.0015248262213705	-0.0026032056742434	Rnls
71913	-0.0042714328414179	-0.0010165217259452	-0.0072027008636423	Tmem79
320563	0.0	0.0	0.0	Islr2
227674	0.0032552716488869	0.0030236549867938	0.0043096746636786	Ddx31
23999	0.0011242848955484	0.000735993665098	0.001092464673265	Twf2
30955	0.0	0.0	0.0	Pik3cg
233406	0.0006686918463112	-7.866396025561297e-06	0.0005374914402879	Prc1
18816	0.0	0.0	0.0	Serpinf2
68667	-0.0002637148497544	0.0006781406249534	-0.0005463133361646	Trpm4
18113	-0.0	-0.0	-0.0	Nnmt
76179	0.0006261004589464	0.0010251979341042	0.0007550801865593	Usp31
214804	0.0002274293764746	0.0003705026930376	0.0006124231961084	Syde2
68611	-0.0069475907176974	0.0011968733342071	-0.0062974280694218	Mrpl28
12630	-5.345404401434333e-05	0.0001802948425179	0.0008808565187225	Cfi
78376	0.002033548423868	0.0002682934998643	0.0008630048836954	Sapcd1
15559	-0.0	-0.0	-0.0	Htr2b
269016	7.607912200400366e-05	4.305172072749327e-05	4.888299317638707e-05	Sh3rf2
15904	0.0006161437881522	0.0032762601591416	0.0024510328845694	Id4
434341	0.0	0.0	0.0	Nlrc5
625249	0.0016681280715367	0.0004237670654893	0.0022203753612435	Gpx4
320051	8.654415930282613e-05	0.0002291047623835	7.428083562412485e-05	Exph5
64660	-0.0111037811691375	-0.0036116212940274	-0.004052696182304	Mrps24
20393	-0.0015834569129705	-0.0019548832152293	0.000860211497961	Sgk1
50773	-0.0	-0.0	-0.0	Nt5c
72585	-0.0001792681477691	-0.0004079604608106	0.0001254733806369	Lypd1
