symbol	gene_id	run	arm	stage	log2cpm
Pi4k2a	ENSMUSG00000025178	SRR30827781	control	L2C	4.864593639703691
Pi4k2a	ENSMUSG00000025178	SRR30827780	control	L2C	5.115346385972701
Pi4k2a	ENSMUSG00000025178	SRR30827779	control	L2C	5.088169407012118
Gpatch4	ENSMUSG00000028069	SRR30827752	A485	E2C	0.7491282478956705
Gpatch4	ENSMUSG00000028069	SRR30827741	A485	E2C	0.6137624668701014
Gpatch4	ENSMUSG00000028069	SRR30827730	A485	E2C	0.5334993768792938
Gpatch4	ENSMUSG00000028069	SRR30827719	A485	E2C	0.5440255849818518
Gpatch4	ENSMUSG00000028069	SRR30827778	A485	L2C	1.5777813211004956
Gpatch4	ENSMUSG00000028069	SRR30827776	A485	L2C	0.7243442416521078
Gpatch4	ENSMUSG00000028069	SRR30827775	A485	L2C	1.3979335675449507
Gpatch4	ENSMUSG00000028069	SRR30827714	A485+Dux	E2C	1.0255018175008053
Gpatch4	ENSMUSG00000028069	SRR30827713	A485+Dux	E2C	1.4109806696985856
Gpatch4	ENSMUSG00000028069	SRR30827784	A485+Dux	E2C	0.750637468294285
Gpatch4	ENSMUSG00000028069	SRR30827783	A485+Dux	E2C	0.6064232876758555
Gpatch4	ENSMUSG00000028069	SRR30827773	A485+Dux	L2C	3.5866197910726703
Gpatch4	ENSMUSG00000028069	SRR30827772	A485+Dux	L2C	2.877248586423695
Gpatch4	ENSMUSG00000028069	SRR30827771	A485+Dux	L2C	2.299234039965344
Gpatch4	ENSMUSG00000028069	SRR30827770	A485+Dux	L2C	3.0607366022775877
Gpatch4	ENSMUSG00000028069	SRR30827786	control	E2C	0.8128617011473633
Gpatch4	ENSMUSG00000028069	SRR30827785	control	E2C	1.2453989761951452
Gpatch4	ENSMUSG00000028069	SRR30827774	control	E2C	1.619613397965342
Gpatch4	ENSMUSG00000028069	SRR30827763	control	E2C	1.8310120523117828
Gpatch4	ENSMUSG00000028069	SRR30827782	control	L2C	3.7789468011275678
Gpatch4	ENSMUSG00000028069	SRR30827781	control	L2C	3.9404956898535186
Gpatch4	ENSMUSG00000028069	SRR30827780	control	L2C	4.4063769366172405
Gpatch4	ENSMUSG00000028069	SRR30827779	control	L2C	4.208285345984866
Psmb5	ENSMUSG00000022193	SRR30827752	A485	E2C	1.2732193229834297
Psmb5	ENSMUSG00000022193	SRR30827741	A485	E2C	1.2573352350916172
Psmb5	ENSMUSG00000022193	SRR30827730	A485	E2C	0.27722406429724966
Psmb5	ENSMUSG00000022193	SRR30827719	A485	E2C	0.38444422631904346
Psmb5	ENSMUSG00000022193	SRR30827778	A485	L2C	0.9147466977831654
Psmb5	ENSMUSG00000022193	SRR30827776	A485	L2C	1.529307663369256
Psmb5	ENSMUSG00000022193	SRR30827775	A485	L2C	2.054753815319813
Psmb5	ENSMUSG00000022193	SRR30827714	A485+Dux	E2C	1.6532247833390474
Psmb5	ENSMUSG00000022193	SRR30827713	A485+Dux	E2C	1.1034386203189395
Psmb5	ENSMUSG00000022193	SRR30827784	A485+Dux	E2C	0.8942741265189657
Psmb5	ENSMUSG00000022193	SRR30827783	A485+Dux	E2C	0.7626804939836872
Psmb5	ENSMUSG00000022193	SRR30827773	A485+Dux	L2C	5.395467238729652
Psmb5	ENSMUSG00000022193	SRR30827772	A485+Dux	L2C	3.796799583782612
Psmb5	ENSMUSG00000022193	SRR30827771	A485+Dux	L2C	2.740878529999393
Psmb5	ENSMUSG00000022193	SRR30827770	A485+Dux	L2C	4.206244432328968
Psmb5	ENSMUSG00000022193	SRR30827786	control	E2C	1.2612110545976007
Psmb5	ENSMUSG00000022193	SRR30827785	control	E2C	1.4589966098439142
Psmb5	ENSMUSG00000022193	SRR30827774	control	E2C	1.5206928924527057
Psmb5	ENSMUSG00000022193	SRR30827763	control	E2C	2.0634895540531955
Psmb5	ENSMUSG00000022193	SRR30827782	control	L2C	4.942170908422534
Psmb5	ENSMUSG00000022193	SRR30827781	control	L2C	5.1832497500015515
Psmb5	ENSMUSG00000022193	SRR30827780	control	L2C	5.132860783480712
Psmb5	ENSMUSG00000022193	SRR30827779	control	L2C	5.551595216564234
