Unnamed: 0	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
106564	-0.0135232414082074	-0.0242285731873341	-0.0184971262320425	0.0057314469552915	Ppcs	zygotic	3.68209304625334
16601	-0.0199327545924369	-0.0241336283521928	-0.023050318545831	0.0010833098063618	Klf9	neither	3.5689305517331613
27060	-0.0197553981590382	-0.018126725940914	-0.0117394966187317	0.0063872293221822	Tcirg1	neither	2.494366082701327
100515	-0.0159699150769967	-0.0173483578562486	-0.0136690591287385	0.0036792987275101	Zfp518b	neither	3.183372712030688
64660	-0.0172252482723226	-0.0143911501622775	-0.0060476570992525	0.0083434930630249	Mrps24	neither	2.4976648336743312
11932	-0.0123935746219988	-0.0141920222080346	-0.0183565869205358	-0.0041645647125012	Atp1b2	neither	2.634704110497529
84095	-0.0159147928360484	-0.0140003007093814	-0.0132883381288194	0.0007119625805619	Pi4k2a	neither	2.687972699307372
71461	-0.012004434760982	-0.0138958865195154	-0.0109838039074888	0.0029120826120266	Ptk7	neither	2.9996025222964957
93689	-0.0124910575885697	-0.0130151704791604	-0.0118369074462848	0.0011782630328755	Lmod1	neither	2.609312451972909
93695	0.0208409516036422	-0.0127708776170601	-0.0079406966179796	0.0048301809990805	Gpnmb	neither	-1.4149865900968823
74513	-0.0226848081242841	-0.0127229557367983	-0.0088269606864861	0.0038959950503122	Neto2	neither	1.9045112131847493
14114	-0.0109996770248664	-0.012382312834787	-0.011558543202003	0.0008237696327839	Fbln1	neither	2.607715182033137
105193	-0.0145408987117117	-0.0118557692177069	-0.0076091355556542	0.0042466336620527	Nhlrc1	neither	1.2133362851763
15507	-0.0124378493375378	-0.0118293500559436	-0.0060756772335388	0.0057536728224047	Hspb1	neither	2.553387734905313
66614	-0.0135171916648691	-0.0114390782682141	-0.0044251030991288	0.0070139751690852	Gpatch4	neither	2.747256212594745
15505	-0.0148239561167266	-0.0113281600464549	-0.0078023291512662	0.0035258308951886	Hsph1	neither	2.489329719814067
108811	0.0117628958452925	-0.010965161610287	-0.004874990547795	0.0060901710624919	Ccdc122	neither	-1.7857339098018197
