species	analysis	interval	cell_number	delta	ci_lo	ci_hi	ci_excludes_0	p_boot_most_negative	is_zga	feature_coverage	n_genes_mapped	n_genes_raw
Cow	primary	8-cell->16-cell	8->16	-0.3139086126413045	-0.3762353243191	-0.2493461569237215	True	0.1505	True	0.6630113473824736	14695.0	16407.0
Cow	primary	16-cell->Morula	16->morula	-0.3886977429261966	-0.468109163216747	-0.3078584280908204	True	0.8495	False	0.6630113473824736	14695.0	16407.0
Cow	primary_residualised_depth_detected	Oocyte->Zygote	fertilisation	0.2115099687633653	0.1563217982538176	0.2735125371837602	True	0.0	False			
Cow	primary_residualised_depth_detected	Zygote->2-cell	1->2	0.0673353426874967	0.011901353099703	0.1190032108121155	True	0.0	False			
Cow	primary_residualised_depth_detected	2-cell->4-cell	2->4	-0.1012936543702855	-0.1662522289265289	-0.0337998618825647	True	0.035	False			
Cow	primary_residualised_depth_detected	4-cell->8-cell	4->8	-0.0535457859664427	-0.1389922291862672	0.0292472149397015	False	0.004	False			
Cow	primary_residualised_depth_detected	8-cell->16-cell	8->16	-0.042322814343393	-0.1316791810683872	0.0502965305558432	False	0.013	True			
Cow	primary_residualised_depth_detected	16-cell->Morula	16->morula	-0.2218410343342257	-0.3353027435700119	-0.1054153587829176	True	0.948	False			
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	Oocyte->Zygote	fertilisation	-0.0569389515036355	-0.096676489748148	-0.0175865906106006	True	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	Zygote->2-cell	1->2	0.015921220276686	-0.0232418193154434	0.0582090699221784	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	2-cell->4-cell	2->4	0.0503959734997263	0.0164417962549375	0.0821800726487196	True	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	4-cell->8-cell	4->8	-0.044720464820877	-0.0842839719176395	-0.0060459575778583	True	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	8-cell->16-cell	8->16	-0.1713517186919924	-0.2406503654565918	-0.1025756564530816	True	0.018	True	0.6630113473824736	14695.0	16407.0
Cow	EN_Chronoage_Multispecies_Multitissue_yugenediff	16-cell->Morula	16->morula	-0.314115083350809	-0.3832660958820126	-0.2427675278071348	True	0.982	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	Oocyte->Zygote	fertilisation	-0.019803283862126	-0.2247344853521088	0.1945597579076127	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	Zygote->2-cell	1->2	0.097116108075923	-0.0957239228669477	0.2919950183416796	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	2-cell->4-cell	2->4	0.0747361314483465	-0.1171864756096694	0.2567977011532253	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	4-cell->8-cell	4->8	-0.0947021922413453	-0.2680392178669176	0.0959465632183216	False	0.0	False	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	8-cell->16-cell	8->16	-0.7755315289959573	-1.0454846505018311	-0.5260797929568588	True	0.1025	True	0.6630113473824736	14695.0	16407.0
Cow	EN_Mortality_Multispecies_Multitissue_scaleddiff	16-cell->Morula	16->morula	-1.1154307237698229	-1.4204918447272028	-0.8045658636719158	True	0.8975	False	0.6630113473824736	14695.0	16407.0
Pig	primary	Oocyte->Zygote	fertilisation	0.1057096995414879	0.0672195112790183	0.1444347287646402	True	0.0	False	0.6207685706112329	15377.0	25880.0
Pig	primary	Zygote->2-cell	1->2	0.0635766915299341	0.0029497087881901	0.1306709063821209	True	0.0	False	0.6207685706112329	15377.0	25880.0
Pig	primary	2-cell->4-cell	2->4	-0.0365358900517497	-0.1119436627317178	0.0305452043857273	False	0.0155	True	0.6207685706112329	15377.0	25880.0
Pig	primary	4-cell->Day2	4->8	-0.0479532887413672	-0.1042604178795661	0.0056154415621692	False	0.018	False	0.6207685706112329	15377.0	25880.0
Pig	primary	Day2->Day3	8->16	-0.0621293072445448	-0.1322498500340969	0.0141067032457896	False	0.1295	False	0.6207685706112329	15377.0	25880.0
Pig	primary	Day3->Morula	16->morula	-0.1356553336357566	-0.2180191296497777	-0.0535267519279819	True	0.837	False	0.6207685706112329	15377.0	25880.0
Pig	primary_residualised_depth_detected	Oocyte->Zygote	fertilisation	0.0857155508593821	0.0501328729701266	0.122231317078871	True	0.0	False			
Pig	primary_residualised_depth_detected	Zygote->2-cell	1->2	0.0539688316938188	0.0045960536336309	0.1077701187530266	True	0.0	False			
Pig	primary_residualised_depth_detected	2-cell->4-cell	2->4	-0.0211039496063718	-0.0861331477890311	0.0446696873079107	False	0.005	True			
Pig	primary_residualised_depth_detected	4-cell->Day2	4->8	-0.0401802621163223	-0.0973936146238829	0.0152250184331999	False	0.022	False			
Pig	primary_residualised_depth_detected	Day2->Day3	8->16	-0.076206879898818	-0.1556540788248457	-0.0001670603410596	True	0.296	False			
Pig	primary_residualised_depth_detected	Day3->Morula	16->morula	-0.1182445140444462	-0.2024002968468677	-0.0216155584172875	True	0.677	False			
Pig	EN_Chronoage_Multispecies_Multitissue_yugenediff	Oocyte->Zygote	fertilisation	-0.0345768639421969	-0.0624890763192173	-0.0057308243291105	True	0.2135	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Chronoage_Multispecies_Multitissue_yugenediff	Zygote->2-cell	1->2	0.0380160997674513	-0.0114564612868447	0.0951802945257082	False	0.0015	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Chronoage_Multispecies_Multitissue_yugenediff	2-cell->4-cell	2->4	-0.0041496138759425	-0.0634062775483013	0.0454706751388514	False	0.0515	True	0.6207685706112329	15377.0	25880.0
Pig	EN_Chronoage_Multispecies_Multitissue_yugenediff	4-cell->Day2	4->8	-0.0027784543917711	-0.0444918211539264	0.0378872371045906	False	0.026	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Chronoage_Multispecies_Multitissue_yugenediff	Day2->Day3	8->16	0.0323468106084962	-0.0141837386905778	0.081343426554422	False	0.003	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Chronoage_Multispecies_Multitissue_yugenediff	Day3->Morula	16->morula	-0.0554578275064622	-0.1066905386390226	-0.0043143018361144	True	0.7045	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Mortality_Multispecies_Multitissue_scaleddiff	Oocyte->Zygote	fertilisation	0.0455362345599301	-0.085451646990035	0.1705486786045643	False	0.0	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Mortality_Multispecies_Multitissue_scaleddiff	Zygote->2-cell	1->2	0.1330403676874716	-0.060519604479482	0.3360060644540086	False	0.0	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Mortality_Multispecies_Multitissue_scaleddiff	2-cell->4-cell	2->4	-0.0856411852506478	-0.3124247892518886	0.122824621089843	False	0.0	True	0.6207685706112329	15377.0	25880.0
Pig	EN_Mortality_Multispecies_Multitissue_scaleddiff	4-cell->Day2	4->8	0.0649357307938494	-0.1256105508077858	0.2534429316865932	False	0.0	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Mortality_Multispecies_Multitissue_scaleddiff	Day2->Day3	8->16	-0.612078327691547	-0.8391551995978486	-0.3755353819221358	True	0.8635	False	0.6207685706112329	15377.0	25880.0
Pig	EN_Mortality_Multispecies_Multitissue_scaleddiff	Day3->Morula	16->morula	-0.3450433525574813	-0.65757025732988	-0.0197074514690759	True	0.1365	False	0.6207685706112329	15377.0	25880.0
Rabbit	primary	Oocyte->Zygote	fertilisation	0.1291810244162632	0.0819323972356604	0.1775871131038343	True	0.0	False	0.5610756174311051	14052.0	23669.0
Rabbit	primary	Zygote->2-cell	1->2	-0.0002757623839402	-0.0443469221260549	0.044871049353288	False	0.0	False	0.5610756174311051	14052.0	23669.0
Rabbit	primary	2-cell->4-cell	2->4	-0.0007845039241041	-0.0505087497981418	0.0468307414233194	False	0.0015	False	0.5610756174311051	14052.0	23669.0
Rabbit	primary	4-cell->8-cell	4->8	-0.1283476406853748	-0.1830158709944462	-0.0777499197414716	True	0.9875	False	0.5610756174311051	14052.0	23669.0
Rabbit	primary	8-cell->16-cell	8->16	0.0152000456111114	-0.0448466487133857	0.0763468862950565	False	0.001	True	0.5610756174311051	14052.0	23669.0
Rabbit	primary	16-cell->Morula	16->morula	-0.035942060671518	-0.0977475750362428	0.027755633667584	False	0.01	False	0.5610756174311051	14052.0	23669.0
Rabbit	primary_residualised_depth_detected	Oocyte->Zygote	fertilisation	0.0918651420393121	0.0483087350197385	0.1361268264284731	True	0.0	False			
Rabbit	primary_residualised_depth_detected	Zygote->2-cell	1->2	-0.015120443638012	-0.0628437745580852	0.0317860011004597	False	0.0605	False			
Rabbit	primary_residualised_depth_detected	2-cell->4-cell	2->4	0.0405204610044944	-0.0167292373808653	0.0987926588916167	False	0.004	False			
Rabbit	primary_residualised_depth_detected	4-cell->8-cell	4->8	-0.0658259434909758	-0.128688911363122	-0.0083315250461716	True	0.7935	False			
Rabbit	primary_residualised_depth_detected	8-cell->16-cell	8->16	0.0196944925933241	-0.0372040397799163	0.0811516092290397	False	0.027	True			
Rabbit	primary_residualised_depth_detected	16-cell->Morula	16->morula	-0.0222353054154121	-0.0802121756444061	0.0367694815257441	False	0.115	False			
Rabbit	EN_Chronoage_Multispecies_Multitissue_yugenediff	Oocyte->Zygote	fertilisation	0.0984763064942395	0.0552346404128248	0.142421514347555	True	0.0	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Chronoage_Multispecies_Multitissue_yugenediff	Zygote->2-cell	1->2	-0.021363287174683	-0.067092280177781	0.0224399670296337	False	0.005	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Chronoage_Multispecies_Multitissue_yugenediff	2-cell->4-cell	2->4	-0.0503829774956739	-0.1101898569388241	0.0068813403736546	False	0.16	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Chronoage_Multispecies_Multitissue_yugenediff	4-cell->8-cell	4->8	-0.0944326090367904	-0.1605674763042722	-0.0235922193684062	True	0.7035	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Chronoage_Multispecies_Multitissue_yugenediff	8-cell->16-cell	8->16	-0.0471281480794105	-0.1101946488236869	0.0133746246172406	False	0.1315	True	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Chronoage_Multispecies_Multitissue_yugenediff	16-cell->Morula	16->morula	0.0775088264835329	0.0295110963005897	0.1234878658307925	True	0.0	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Mortality_Multispecies_Multitissue_scaleddiff	Oocyte->Zygote	fertilisation	0.5124404110460558	0.3748932804572104	0.651733450210602	True	0.0	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Mortality_Multispecies_Multitissue_scaleddiff	Zygote->2-cell	1->2	-0.2079856556788733	-0.3859647220180677	-0.0395256222528103	True	0.6585	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Mortality_Multispecies_Multitissue_scaleddiff	2-cell->4-cell	2->4	-0.0611377434976478	-0.2094649680726246	0.0864338840005031	False	0.1005	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Mortality_Multispecies_Multitissue_scaleddiff	4-cell->8-cell	4->8	0.3609453151328052	0.1728046220070607	0.56328776114327	True	0.0	False	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Mortality_Multispecies_Multitissue_scaleddiff	8-cell->16-cell	8->16	0.3773677469879583	0.0383429624665573	0.7004253375116559	True	0.0025	True	0.5610756174311051	14052.0	23669.0
Rabbit	EN_Mortality_Multispecies_Multitissue_scaleddiff	16-cell->Morula	16->morula	-0.0937115599961203	-0.4200329394509268	0.2408527154509515	False	0.2385	False	0.5610756174311051	14052.0	23669.0
Rhesus	primary	Oocyte->Zygote	fertilisation	-0.0936760976038795	-0.3140948454581838	0.1136562694431642	False	0.007	False	0.6363116239153237	13823.0	32386.0
