Unnamed: 0	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
16601	-0.0199327545924369	-0.0326970673403386	-0.017290242005618	0.0154068253347205	Klf9	neither	4.476413635946091
74513	-0.0226848081242841	-0.0236888571158173	-0.0027891074947943	0.020899749621023	Neto2	neither	2.9249381584915533
84095	-0.0159147928360484	-0.0181943466417629	-0.0032162273373832	0.0149781193043797	Pi4k2a	neither	3.025947207409379
226830	0.0318049534532745	-0.017971778509605	-0.0138832739829025	0.0040885045267025	Smyd2	neither	-0.8696167992682061
93695	0.0208409516036422	-0.0175144073420924	-0.0055770229320016	0.0119373844100907	Gpnmb	neither	-1.5724924368904754
66614	-0.0135171916648691	-0.0161059600110873	-0.0035865297186926	0.0125194302923946	Gpatch4	neither	2.88513713840648
20200	0.024399101043478	-0.0158126168472709	0.004777748282399	0.0205903651296699	S100a6	neither	-0.7228353823855429
100515	-0.0159699150769967	-0.0147230796456762	-0.0193580325688179	-0.0046349529231416	Zfp518b	neither	2.0557523579177617
108699	0.0215830813307895	-0.0132901036103467	-0.0049912007320201	0.0082989028783265	Chn1	neither	-1.52725090437056
19173	-0.0089547029370377	-0.0132123703548997	-0.0032061391464446	0.010006231208455	Psmb5	neither	3.812705196004668
27060	-0.0197553981590382	-0.0123170474635272	-0.0092606401259414	0.0030564073375858	Tcirg1	neither	1.546004544681597
108811	0.0117628958452925	-0.0119115502757478	-0.0122691516783846	-0.0003576014026367	Ccdc122	neither	-2.653806559555456
227656	-0.0118473669001416	-0.0115425137478689	-0.0062496376076756	0.0052928761401932	Rexo4	neither	2.495940667637492
54353	0.0201600645841081	-0.0114569316612072	-0.005082797722497	0.0063741339387101	Skap2	neither	-1.4442387519753614
54561	0.0126995911372371	-0.0111246168737817	-0.0024484956061146	0.0086761212676671	Nap1l3	neither	-1.4154585728709494
64660	-0.0172252482723226	-0.0111037811691375	-0.0036116212940274	0.0074921598751101	Mrps24	neither	1.8604010569185008
11815	0.0168541970635297	-0.010924411570231	-8.794396362748408e-05	0.0108364676066035	Apod	neither	-1.223773287951214
93689	-0.0124910575885697	-0.0106679706228909	-0.0087331250198459	0.001934845603045	Lmod1	neither	1.050925882444874
27276	0.0286733961106819	-0.0106638061005815	-0.0002495176947144	0.0104142884058671	Plekhb1	neither	-0.909998300465673
11932	-0.0123935746219988	-0.0106230104086417	-0.0132826334591711	-0.0026596230505294	Atp1b2	neither	1.586561495872447
22371	0.0318652630901548	-0.0099919481345672	-0.0043409092247459	0.0056510389098213	Vwf	neither	-0.6990751168297503
381101	-0.006083071094564	-0.0095000761776026	-0.0052646757249731	0.0042354004526295	Dnph1	neither	2.655501802157957
15505	-0.0148239561167266	-0.0094626215929634	-0.0017595548959121	0.0077030666970513	Hsph1	neither	1.9676409873206668
20512	-0.0125845368986331	-0.0093236512045264	-0.0114882470571115	-0.0021645958525851	Slc1a3	neither	1.3921986213883497
16997	0.0076858443602156	-0.0088398002541707	-0.0039987322884526	0.0048410679657181	Ltbp2	neither	-2.173615112314755
70099	-0.0343869985651042	-0.0085936033845748	-0.0101705221385569	-0.0015769187539821	Smc4	neither	0.8989311119963819
20229	-0.0094159956848959	-0.0082938055851275	-0.0057509849714513	0.0025428206136762	Sat1	neither	2.7657573793140955
330171	0.0220652463980956	-0.008095915521736	-0.0079341126005689	0.0001618029211671	Kctd10	neither	-0.8806048359100066
242466	-0.0108558451370657	-0.0080623109172047	-0.0079401208187369	0.0001221900984677	Zfp462	neither	0.9915874820799916
106564	-0.0135232414082074	-0.0080098369643459	-0.0052364365703971	0.0027734003939488	Ppcs	neither	1.5319286581155689
72825	-0.0081923167922336	-0.0076590674824003	-0.0044642382992206	0.0031948291831797	Mon1a	neither	2.3765775041695765
67669	-0.0132658419321509	-0.0076236109815087	-0.0029847140366493	0.0046388969448593	Hikeshi	neither	1.7621419644953855
217082	-0.0123913551024566	-0.007538096387441	-0.01049545122728	-0.0029573548398389	Hlf	neither	1.1647514166050887
58243	0.0132205425230254	-0.0074982461956878	0.0022147468655384	0.0097129930612263	Nap1l5	neither	-0.470693001604811
83965	0.0084129559894151	-0.0074535721533157	-0.0060878947737406	0.001365677379575	Enpp5	neither	-2.255263815047549
