dataset	analysis	species	sample_id	gsm	srr	stage	arm	variant	reference	clock_value
GSE225056	Gate 1	Pig	Zygote_6	GSM7038189		Zygote		V0	oocytes of the same species	0.0975071739949186
GSE225056	Gate 1	Pig	Zygote_7	GSM7038190		Zygote		V0	oocytes of the same species	0.1976907128498718
GSE225056	Gate 1	Pig	Zygote_8	GSM7038191		Zygote		V0	oocytes of the same species	0.1864072404327483
GSE225056	Gate 1	Pig	Zygote_9	GSM7038192		Zygote		V0	oocytes of the same species	0.0857630220515629
GSE225056	Gate 1	Rabbit	16-cell_1	GSM7038395		16-cell		V0	oocytes of the same species	0.0356211970094187
GSE225056	Gate 1	Rabbit	16-cell_10	GSM7038404		16-cell		V0	oocytes of the same species	-0.0268468518927203
GSE225056	Gate 1	Rabbit	16-cell_11	GSM7038405		16-cell		V0	oocytes of the same species	-0.0290010751118608
GSE225056	Gate 1	Rabbit	16-cell_12	GSM7038406		16-cell		V0	oocytes of the same species	0.0742181546865606
GSE225056	Gate 1	Rabbit	16-cell_2	GSM7038396		16-cell		V0	oocytes of the same species	-0.0171264851764732
GSE225056	Gate 1	Rabbit	16-cell_3	GSM7038397		16-cell		V0	oocytes of the same species	-0.1316751600937303
GSE225056	Gate 1	Rabbit	16-cell_4	GSM7038398		16-cell		V0	oocytes of the same species	0.1086124052267284
GSE225056	Gate 1	Rabbit	16-cell_5	GSM7038399		16-cell		V0	oocytes of the same species	-0.0992354717981533
GSE225056	Gate 1	Rabbit	16-cell_6	GSM7038400		16-cell		V0	oocytes of the same species	0.1164639382794117
GSE225056	Gate 1	Rabbit	16-cell_7	GSM7038401		16-cell		V0	oocytes of the same species	0.0854971959811522
GSE225056	Gate 1	Rabbit	16-cell_8	GSM7038402		16-cell		V0	oocytes of the same species	0.0463369692321805
GSE225056	Gate 1	Rabbit	16-cell_9	GSM7038403		16-cell		V0	oocytes of the same species	-0.1124598782619335
GSE225056	Gate 1	Rabbit	2-cell_1	GSM7038360		2-cell		V0	oocytes of the same species	0.14960317706638
GSE225056	Gate 1	Rabbit	2-cell_10	GSM7038369		2-cell		V0	oocytes of the same species	0.2181234388341273
GSE225056	Gate 1	Rabbit	2-cell_12	GSM7038370		2-cell		V0	oocytes of the same species	0.1350094489806297
GSE225056	Gate 1	Rabbit	2-cell_2	GSM7038361		2-cell		V0	oocytes of the same species	0.096120114431036
GSE225056	Gate 1	Rabbit	2-cell_3	GSM7038362		2-cell		V0	oocytes of the same species	0.0704498784342199
GSE225056	Gate 1	Rabbit	2-cell_4	GSM7038363		2-cell		V0	oocytes of the same species	0.0753219298471717
GSE225056	Gate 1	Rabbit	2-cell_5	GSM7038364		2-cell		V0	oocytes of the same species	0.1110921794837697
GSE225056	Gate 1	Rabbit	2-cell_6	GSM7038365		2-cell		V0	oocytes of the same species	0.1045019909518277
GSE225056	Gate 1	Rabbit	2-cell_7	GSM7038366		2-cell		V0	oocytes of the same species	0.1413765099827693
GSE225056	Gate 1	Rabbit	2-cell_8	GSM7038367		2-cell		V0	oocytes of the same species	0.050076009306312
GSE225056	Gate 1	Rabbit	2-cell_9	GSM7038368		2-cell		V0	oocytes of the same species	0.1477829382376639
GSE225056	Gate 1	Rabbit	4-cell_1	GSM7038371		4-cell		V0	oocytes of the same species	0.0690242293584078
GSE225056	Gate 1	Rabbit	4-cell_10	GSM7038379		4-cell		V0	oocytes of the same species	0.0505436510397278
GSE225056	Gate 1	Rabbit	4-cell_11	GSM7038380		4-cell		V0	oocytes of the same species	0.1283307599288335
GSE225056	Gate 1	Rabbit	4-cell_2	GSM7038372		4-cell		V0	oocytes of the same species	0.2228854046244753
GSE225056	Gate 1	Rabbit	4-cell_3	GSM7038373		4-cell		V0	oocytes of the same species	0.0647664669027578
GSE225056	Gate 1	Rabbit	4-cell_4	GSM7038374		4-cell		V0	oocytes of the same species	0.0874002959901655
GSE225056	Gate 1	Rabbit	4-cell_5	GSM7038375		4-cell		V0	oocytes of the same species	0.187665090968248
GSE225056	Gate 1	Rabbit	4-cell_6	GSM7038376		4-cell		V0	oocytes of the same species	0.0815471202808391
GSE225056	Gate 1	Rabbit	4-cell_8	GSM7038377		4-cell		V0	oocytes of the same species	0.0594947315193343
GSE225056	Gate 1	Rabbit	4-cell_9	GSM7038378		4-cell		V0	oocytes of the same species	0.221822315196994
GSE225056	Gate 1	Rabbit	8-cell_1	GSM7038381		8-cell		V0	oocytes of the same species	0.0296176263056554
GSE225056	Gate 1	Rabbit	8-cell_11	GSM7038390		8-cell		V0	oocytes of the same species	-0.103352646871058
GSE225056	Gate 1	Rabbit	8-cell_12	GSM7038391		8-cell		V0	oocytes of the same species	0.0908266570575014
GSE225056	Gate 1	Rabbit	8-cell_13	GSM7038392		8-cell		V0	oocytes of the same species	-0.009212245465731
GSE225056	Gate 1	Rabbit	8-cell_14	GSM7038393		8-cell		V0	oocytes of the same species	0.0389098040781174
GSE225056	Gate 1	Rabbit	8-cell_2	GSM7038382		8-cell		V0	oocytes of the same species	-0.0509244357889667
GSE225056	Gate 1	Rabbit	8-cell_3	GSM7038383		8-cell		V0	oocytes of the same species	-0.0161339541839322
GSE225056	Gate 1	Rabbit	8-cell_4	GSM7038384		8-cell		V0	oocytes of the same species	-0.0317084300129417
GSE225056	Gate 1	Rabbit	8-cell_5	GSM7038385		8-cell		V0	oocytes of the same species	-0.0290146543494048
GSE225056	Gate 1	Rabbit	8-cell_6	GSM7038386		8-cell		V0	oocytes of the same species	-0.172950188622813
GSE225056	Gate 1	Rabbit	8-cell_7	GSM7038387		8-cell		V0	oocytes of the same species	0.0016165142718507
GSE225056	Gate 1	Rabbit	8-cell_8	GSM7038388		8-cell		V0	oocytes of the same species	0.066816555511382
GSE225056	Gate 1	Rabbit	8-cell_9	GSM7038389		8-cell		V0	oocytes of the same species	0.0425141547131869
GSE225056	Gate 1	Rabbit	Morula_1	GSM7038407		Morula		V0	oocytes of the same species	-0.0008126134916702
GSE225056	Gate 1	Rabbit	Morula_11	GSM7038416		Morula		V0	oocytes of the same species	-0.00087837193567
GSE225056	Gate 1	Rabbit	Morula_12	GSM7038417		Morula		V0	oocytes of the same species	0.0604041596181995
GSE225056	Gate 1	Rabbit	Morula_2	GSM7038408		Morula		V0	oocytes of the same species	-0.0371787506556023
GSE225056	Gate 1	Rabbit	Morula_3	GSM7038409		Morula		V0	oocytes of the same species	-0.1795401317309595
GSE225056	Gate 1	Rabbit	Morula_4	GSM7038410		Morula		V0	oocytes of the same species	-0.0818941376347117
GSE225056	Gate 1	Rabbit	Morula_5	GSM7038411		Morula		V0	oocytes of the same species	-0.0192109272445205
GSE225056	Gate 1	Rabbit	Morula_6	GSM7038412		Morula		V0	oocytes of the same species	-0.082615153705476
GSE225056	Gate 1	Rabbit	Morula_7	GSM7038413		Morula		V0	oocytes of the same species	-0.0815302062079211
GSE225056	Gate 1	Rabbit	Morula_8	GSM7038414		Morula		V0	oocytes of the same species	0.04642829968371
GSE225056	Gate 1	Rabbit	Morula_9	GSM7038415		Morula		V0	oocytes of the same species	0.027669692491789
GSE225056	Gate 1	Rabbit	Oocyte_1	GSM7038336		Oocyte		V0	oocytes of the same species	-0.1226181540000423
GSE225056	Gate 1	Rabbit	Oocyte_10	GSM7038345		Oocyte		V0	oocytes of the same species	0.0371517775353735
GSE225056	Gate 1	Rabbit	Oocyte_11	GSM7038346		Oocyte		V0	oocytes of the same species	-0.0058871385126437
GSE225056	Gate 1	Rabbit	Oocyte_12	GSM7038347		Oocyte		V0	oocytes of the same species	-0.0067463153658384
GSE225056	Gate 1	Rabbit	Oocyte_13	GSM7038348		Oocyte		V0	oocytes of the same species	-0.0404035651923269
GSE225056	Gate 1	Rabbit	Oocyte_2	GSM7038337		Oocyte		V0	oocytes of the same species	-0.044445714650772
GSE225056	Gate 1	Rabbit	Oocyte_3	GSM7038338		Oocyte		V0	oocytes of the same species	0.0137881430288642
GSE225056	Gate 1	Rabbit	Oocyte_4	GSM7038339		Oocyte		V0	oocytes of the same species	-0.0200870588166037
GSE225056	Gate 1	Rabbit	Oocyte_5	GSM7038340		Oocyte		V0	oocytes of the same species	0.073571891568383
GSE225056	Gate 1	Rabbit	Oocyte_6	GSM7038341		Oocyte		V0	oocytes of the same species	0.1029821397437517
GSE225056	Gate 1	Rabbit	Oocyte_7	GSM7038342		Oocyte		V0	oocytes of the same species	0.0252582591080686
GSE225056	Gate 1	Rabbit	Oocyte_8	GSM7038343		Oocyte		V0	oocytes of the same species	-0.0679819431041806
GSE225056	Gate 1	Rabbit	Oocyte_9	GSM7038344		Oocyte		V0	oocytes of the same species	-0.0846280911961587
GSE225056	Gate 1	Rabbit	Zygote_1	GSM7038349		Zygote		V0	oocytes of the same species	0.097732870760533
GSE225056	Gate 1	Rabbit	Zygote_10	GSM7038358		Zygote		V0	oocytes of the same species	0.1672743308009521
GSE225056	Gate 1	Rabbit	Zygote_11	GSM7038359		Zygote		V0	oocytes of the same species	0.0305395286148912
GSE225056	Gate 1	Rabbit	Zygote_2	GSM7038350		Zygote		V0	oocytes of the same species	0.0825307272977872
GSE225056	Gate 1	Rabbit	Zygote_3	GSM7038351		Zygote		V0	oocytes of the same species	0.1151660242956226
GSE225056	Gate 1	Rabbit	Zygote_4	GSM7038352		Zygote		V0	oocytes of the same species	0.0903072211189707
GSE225056	Gate 1	Rabbit	Zygote_5	GSM7038353		Zygote		V0	oocytes of the same species	0.2523626225122575
GSE225056	Gate 1	Rabbit	Zygote_6	GSM7038354		Zygote		V0	oocytes of the same species	0.1537136643819446
GSE225056	Gate 1	Rabbit	Zygote_7	GSM7038355		Zygote		V0	oocytes of the same species	0.0827239967690493
GSE225056	Gate 1	Rabbit	Zygote_8	GSM7038356		Zygote		V0	oocytes of the same species	0.1745787810987458
GSE225056	Gate 1	Rabbit	Zygote_9	GSM7038357		Zygote		V0	oocytes of the same species	0.0555612341284963
GSE225056	Gate 1 (descriptive only)	Rhesus	16-cell_1	GSM7038434		16-cell		V0	oocytes of the same species	-0.4371048323392981
GSE225056	Gate 1 (descriptive only)	Rhesus	16-cell_2	GSM7038435		16-cell		V0	oocytes of the same species	-0.461998063235229
GSE225056	Gate 1 (descriptive only)	Rhesus	16-cell_3	GSM7038436		16-cell		V0	oocytes of the same species	-0.4223809179969863
GSE225056	Gate 1 (descriptive only)	Rhesus	2-cell_1	GSM7038428		2-cell		V0	oocytes of the same species	0.0146396324763781
GSE225056	Gate 1 (descriptive only)	Rhesus	2-cell_2	GSM7038429		2-cell		V0	oocytes of the same species	-0.0337952926546171
GSE225056	Gate 1 (descriptive only)	Rhesus	4-cell_2	GSM7038430		4-cell		V0	oocytes of the same species	-0.3823186623111587
GSE225056	Gate 1 (descriptive only)	Rhesus	8-cell_1	GSM7038431		8-cell		V0	oocytes of the same species	-0.1419361527966685
GSE225056	Gate 1 (descriptive only)	Rhesus	8-cell_2	GSM7038432		8-cell		V0	oocytes of the same species	-0.0582057299577213
GSE225056	Gate 1 (descriptive only)	Rhesus	Oocyte_1	GSM7038418		Oocyte		V0	oocytes of the same species	0.0622528851665486
GSE225056	Gate 1 (descriptive only)	Rhesus	Oocyte_2	GSM7038419		Oocyte		V0	oocytes of the same species	0.0466924362720933
GSE225056	Gate 1 (descriptive only)	Rhesus	Oocyte_3	GSM7038420		Oocyte		V0	oocytes of the same species	0.1017178191723419
GSE225056	Gate 1 (descriptive only)	Rhesus	Oocyte_4	GSM7038421		Oocyte		V0	oocytes of the same species	0.0525936595510734
GSE225056	Gate 1 (descriptive only)	Rhesus	Oocyte_5	GSM7038422		Oocyte		V0	oocytes of the same species	-0.1135794775443448
GSE225056	Gate 1 (descriptive only)	Rhesus	Oocyte_6	GSM7038423		Oocyte		V0	oocytes of the same species	-0.0718738581444407
GSE225056	Gate 1 (descriptive only)	Rhesus	Zygote_1	GSM7038424		Zygote		V0	oocytes of the same species	-0.403944815462004
GSE225056	Gate 1 (descriptive only)	Rhesus	Zygote_2	GSM7038425		Zygote		V0	oocytes of the same species	-0.0362736292520477
GSE225056	Gate 1 (descriptive only)	Rhesus	Zygote_3	GSM7038426		Zygote		V0	oocytes of the same species	0.1749875870365729
GSE225056	Gate 1 (descriptive only)	Rhesus	Zygote_4	GSM7038427		Zygote		V0	oocytes of the same species	-0.0576045564225248
GSE45719	Gate 2b R1	Mouse	16cell_1 (14 cells)			16C		V0	zygotes	-0.0811862290270057
GSE45719	Gate 2b R1	Mouse	16cell_1 (14 cells)			16C		V2	zygotes	-0.1019009091087695
GSE45719	Gate 2b R1	Mouse	16cell_4 (11 cells)			16C		V0	zygotes	-0.0618738784265588
GSE45719	Gate 2b R1	Mouse	16cell_4 (11 cells)			16C		V2	zygotes	-0.0839103574805412
GSE45719	Gate 2b R1	Mouse	16cell_5 (13 cells)			16C		V0	zygotes	-0.0259034996661199
GSE45719	Gate 2b R1	Mouse	16cell_5 (13 cells)			16C		V2	zygotes	-0.1027861321489274
GSE45719	Gate 2b R1	Mouse	16cell_6 (12 cells)			16C		V0	zygotes	0.0128468617084073
GSE45719	Gate 2b R1	Mouse	16cell_6 (12 cells)			16C		V2	zygotes	-0.0200524087312212
GSE45719	Gate 2b R1	Mouse	4cell_1 (3 cells)			4C		V0	zygotes	-0.044313647474784
GSE45719	Gate 2b R1	Mouse	4cell_1 (3 cells)			4C		V2	zygotes	-0.0643798052934655
GSE45719	Gate 2b R1	Mouse	4cell_2 (4 cells)			4C		V0	zygotes	-0.1171187085931386
GSE45719	Gate 2b R1	Mouse	4cell_2 (4 cells)			4C		V2	zygotes	-0.0754250464636786
GSE45719	Gate 2b R1	Mouse	4cell_3 (3 cells)			4C		V0	zygotes	-0.2699671983852456
GSE45719	Gate 2b R1	Mouse	4cell_3 (3 cells)			4C		V2	zygotes	-0.2624142204796441
GSE45719	Gate 2b R1	Mouse	4cell_4 (4 cells)			4C		V0	zygotes	-0.1915198163620447
GSE45719	Gate 2b R1	Mouse	4cell_4 (4 cells)			4C		V2	zygotes	-0.2362797100136634
GSE45719	Gate 2b R1	Mouse	8cell_1 (7 cells)			8C		V0	zygotes	0.0995757216920211
GSE45719	Gate 2b R1	Mouse	8cell_1 (7 cells)			8C		V2	zygotes	0.1024485864654008
GSE45719	Gate 2b R1	Mouse	8cell_2 (7 cells)			8C		V0	zygotes	0.208235819315133
GSE45719	Gate 2b R1	Mouse	8cell_2 (7 cells)			8C		V2	zygotes	0.1212902857564453
GSE45719	Gate 2b R1	Mouse	8cell_5 (7 cells)			8C		V0	zygotes	0.018827694584563
GSE45719	Gate 2b R1	Mouse	8cell_5 (7 cells)			8C		V2	zygotes	-0.0105568747277672
GSE45719	Gate 2b R1	Mouse	8cell_8 (7 cells)			8C		V0	zygotes	-0.2640148363439227
GSE45719	Gate 2b R1	Mouse	8cell_8 (7 cells)			8C		V2	zygotes	-0.2637526835333534
GSE45719	Gate 2b R1	Mouse	early2cell_0r (2 cells)			Early-2C		V0	zygotes	0.0328892348121878
GSE45719	Gate 2b R1	Mouse	early2cell_0r (2 cells)			Early-2C		V2	zygotes	-0.0022387315616949
GSE45719	Gate 2b R1	Mouse	early2cell_1 (2 cells)			Early-2C		V0	zygotes	0.076792348405164
GSE45719	Gate 2b R1	Mouse	early2cell_1 (2 cells)			Early-2C		V2	zygotes	0.0595409688172348
GSE45719	Gate 2b R1	Mouse	early2cell_2 (2 cells)			Early-2C		V0	zygotes	-0.0082696742544382
GSE45719	Gate 2b R1	Mouse	early2cell_2 (2 cells)			Early-2C		V2	zygotes	0.0051173058531851
GSE45719	Gate 2b R1	Mouse	early2cell_3 (2 cells)			Early-2C		V0	zygotes	-0.0769680882968487
GSE45719	Gate 2b R1	Mouse	early2cell_3 (2 cells)			Early-2C		V2	zygotes	-0.0623740023887421
GSE45719	Gate 2b R1	Mouse	earlyblast_2 (15 cells)			EarlyBl		V0	zygotes	-0.3299027447189152
GSE45719	Gate 2b R1	Mouse	earlyblast_2 (15 cells)			EarlyBl		V2	zygotes	-0.2673302334441619
GSE45719	Gate 2b R1	Mouse	earlyblast_3 (15 cells)			EarlyBl		V0	zygotes	-0.2664161119592377
GSE45719	Gate 2b R1	Mouse	earlyblast_3 (15 cells)			EarlyBl		V2	zygotes	-0.2197220135450693
GSE45719	Gate 2b R1	Mouse	earlyblast_4 (13 cells)			EarlyBl		V0	zygotes	-0.2426671815329358
GSE45719	Gate 2b R1	Mouse	earlyblast_4 (13 cells)			EarlyBl		V2	zygotes	-0.1754099649228098
GSE45719	Gate 2b R1	Mouse	late2cell_5 (2 cells)			Late-2C		V0	zygotes	-0.1728275204601598
GSE45719	Gate 2b R1	Mouse	late2cell_5 (2 cells)			Late-2C		V2	zygotes	-0.2334964900438648
GSE45719	Gate 2b R1	Mouse	late2cell_6 (2 cells)			Late-2C		V0	zygotes	-0.0997572155058049
GSE45719	Gate 2b R1	Mouse	late2cell_6 (2 cells)			Late-2C		V2	zygotes	-0.1800580750746769
GSE45719	Gate 2b R1	Mouse	late2cell_7 (2 cells)			Late-2C		V0	zygotes	0.0521110199678721
GSE45719	Gate 2b R1	Mouse	late2cell_7 (2 cells)			Late-2C		V2	zygotes	-0.0445255490420987
GSE45719	Gate 2b R1	Mouse	late2cell_8 (2 cells)			Late-2C		V0	zygotes	-0.1670830496065946
GSE45719	Gate 2b R1	Mouse	late2cell_8 (2 cells)			Late-2C		V2	zygotes	-0.2416660597385824
GSE45719	Gate 2b R1	Mouse	late2cell_9 (2 cells)			Late-2C		V0	zygotes	-0.2652604479032796
GSE45719	Gate 2b R1	Mouse	late2cell_9 (2 cells)			Late-2C		V2	zygotes	-0.1855885999446048
GSE45719	Gate 2b R1	Mouse	lateblast_1 (19 cells)			LateBl		V0	zygotes	-0.3530466779145237
GSE45719	Gate 2b R1	Mouse	lateblast_1 (19 cells)			LateBl		V2	zygotes	-0.2899835526796066
GSE45719	Gate 2b R1	Mouse	lateblast_2 (11 cells)			LateBl		V0	zygotes	-0.2626892926679269
GSE45719	Gate 2b R1	Mouse	lateblast_2 (11 cells)			LateBl		V2	zygotes	-0.2878161581461151
GSE45719	Gate 2b R1	Mouse	mid2cell_0r (2 cells)			Mid-2C		V0	zygotes	0.0516185582551443
GSE45719	Gate 2b R1	Mouse	mid2cell_0r (2 cells)			Mid-2C		V2	zygotes	-0.0495939018809833
GSE45719	Gate 2b R1	Mouse	mid2cell_3 (2 cells)			Mid-2C		V0	zygotes	-0.0497771099971715
GSE45719	Gate 2b R1	Mouse	mid2cell_3 (2 cells)			Mid-2C		V2	zygotes	-0.1482374654211995
GSE45719	Gate 2b R1	Mouse	mid2cell_4 (2 cells)			Mid-2C		V0	zygotes	0.1535510999717428
GSE45719	Gate 2b R1	Mouse	mid2cell_4 (2 cells)			Mid-2C		V2	zygotes	0.0331498137526148
GSE45719	Gate 2b R1	Mouse	mid2cell_5 (2 cells)			Mid-2C		V0	zygotes	0.0485368594037968
GSE45719	Gate 2b R1	Mouse	mid2cell_5 (2 cells)			Mid-2C		V2	zygotes	-0.0315780575420405
GSE45719	Gate 2b R1	Mouse	mid2cell_6 (2 cells)			Mid-2C		V0	zygotes	-0.0830833127232054
GSE45719	Gate 2b R1	Mouse	mid2cell_6 (2 cells)			Mid-2C		V2	zygotes	-0.1942958463923176
GSE45719	Gate 2b R1	Mouse	mid2cell_7 (2 cells)			Mid-2C		V0	zygotes	-0.0419667834212175
GSE45719	Gate 2b R1	Mouse	mid2cell_7 (2 cells)			Mid-2C		V2	zygotes	-0.1398643440094559
GSE45719	Gate 2b R1	Mouse	midblast_1 (22 cells)			MidBl		V0	zygotes	-0.2343692629674585
GSE45719	Gate 2b R1	Mouse	midblast_1 (22 cells)			MidBl		V2	zygotes	-0.2284586879167571
GSE45719	Gate 2b R1	Mouse	midblast_2 (20 cells)			MidBl		V0	zygotes	-0.2117378880220477
GSE45719	Gate 2b R1	Mouse	midblast_2 (20 cells)			MidBl		V2	zygotes	-0.2337655861548935
GSE45719	Gate 2b R1	Mouse	midblast_3 (18 cells)			MidBl		V0	zygotes	-0.4417388147683022
GSE45719	Gate 2b R1	Mouse	midblast_3 (18 cells)			MidBl		V2	zygotes	-0.3586689312130394
GSE45719	Gate 2b R1	Mouse	zy1 (1 cells)			Zygote		V0	zygotes	-0.0006251727502334
GSE45719	Gate 2b R1	Mouse	zy1 (1 cells)			Zygote		V2	zygotes	-0.0192142724958756
GSE45719	Gate 2b R1	Mouse	zy2 (1 cells)			Zygote		V0	zygotes	0.1478807760066323
GSE45719	Gate 2b R1	Mouse	zy2 (1 cells)			Zygote		V2	zygotes	0.1601822193607064
GSE45719	Gate 2b R1	Mouse	zy3 (1 cells)			Zygote		V0	zygotes	-0.1268017000565171
GSE45719	Gate 2b R1	Mouse	zy3 (1 cells)			Zygote		V2	zygotes	-0.1262609215617265
GSE45719	Gate 2b R1	Mouse	zy4 (1 cells)			Zygote		V0	zygotes	-0.055768083489233
GSE45719	Gate 2b R1	Mouse	zy4 (1 cells)			Zygote		V2	zygotes	-0.0335842369767324
GSE66582	Gate 2b R2	Mouse	SRR2927026	GSM1933935	SRR2927026	MII		V0	MII oocytes	-0.0041211981869266
GSE66582	Gate 2b R2	Mouse	SRR2927026	GSM1933935	SRR2927026	MII		V2	MII oocytes	0.0018023912637209
GSE66582	Gate 2b R2	Mouse	SRR2927027	GSM1933936	SRR2927027	MII		V0	MII oocytes	0.013321717349433
GSE66582	Gate 2b R2	Mouse	SRR2927027	GSM1933936	SRR2927027	MII		V2	MII oocytes	0.0150406995918563
GSE66582	Gate 2b R2	Mouse	SRR1840514	GSM1625860	SRR1840514	Zygote		V0	MII oocytes	-0.1413082559455077
GSE66582	Gate 2b R2	Mouse	SRR1840514	GSM1625860	SRR1840514	Zygote		V2	MII oocytes	-0.0774887588883197
GSE66582	Gate 2b R2	Mouse	SRR1840515	GSM1625861	SRR1840515	Zygote		V0	MII oocytes	-0.1047321059802879
GSE66582	Gate 2b R2	Mouse	SRR1840515	GSM1625861	SRR1840515	Zygote		V2	MII oocytes	-0.0367892023149655
GSE66582	Gate 2b R2	Mouse	SRR2927028	GSM1933937	SRR2927028	Early-2C		V0	MII oocytes	-0.0279014037425807
GSE66582	Gate 2b R2	Mouse	SRR2927028	GSM1933937	SRR2927028	Early-2C		V2	MII oocytes	0.0288279008660046
GSE66582	Gate 2b R2	Mouse	SRR2927029	GSM1933938	SRR2927029	Early-2C		V0	MII oocytes	-0.0351510052214242
GSE66582	Gate 2b R2	Mouse	SRR2927029	GSM1933938	SRR2927029	Early-2C		V2	MII oocytes	0.0025312650753452
GSE66582	Gate 2b R2	Mouse	SRR1840516	GSM1625862	SRR1840516	2C		V0	MII oocytes	-0.2825491769865347
GSE66582	Gate 2b R2	Mouse	SRR1840516	GSM1625862	SRR1840516	2C		V2	MII oocytes	-0.1603231871536482
GSE66582	Gate 2b R2	Mouse	SRR1840517	GSM1625863	SRR1840517	2C		V0	MII oocytes	-0.299662192666971
GSE66582	Gate 2b R2	Mouse	SRR1840517	GSM1625863	SRR1840517	2C		V2	MII oocytes	-0.172151751053361
GSE66582	Gate 2b R2	Mouse	SRR1840518	GSM1625864	SRR1840518	4C		V0	MII oocytes	-0.0482316327952101
GSE66582	Gate 2b R2	Mouse	SRR1840518	GSM1625864	SRR1840518	4C		V2	MII oocytes	0.0563540550744943
GSE66582	Gate 2b R2	Mouse	SRR1840519	GSM1625865	SRR1840519	4C		V0	MII oocytes	-0.2159947357676279
GSE66582	Gate 2b R2	Mouse	SRR1840519	GSM1625865	SRR1840519	4C		V2	MII oocytes	-0.0354310687085042
GSE66582	Gate 2b R2	Mouse	SRR1840520	GSM1625866	SRR1840520	8C		V0	MII oocytes	-0.1160149439614023
GSE66582	Gate 2b R2	Mouse	SRR1840520	GSM1625866	SRR1840520	8C		V2	MII oocytes	0.0895117839930776
GSE66582	Gate 2b R2	Mouse	SRR1840521	GSM1625867	SRR1840521	8C		V0	MII oocytes	-0.1570523774264593
GSE66582	Gate 2b R2	Mouse	SRR1840521	GSM1625867	SRR1840521	8C		V2	MII oocytes	0.0566951363759964
GSE66582	Gate 2b R2	Mouse	SRR1840522	GSM1625868	SRR1840522	ICM		V0	MII oocytes	-0.4253701702198878
GSE66582	Gate 2b R2	Mouse	SRR1840522	GSM1625868	SRR1840522	ICM		V2	MII oocytes	-0.1703648708933731
GSE66582	Gate 2b R2	Mouse	SRR1840523	GSM1625869	SRR1840523	ICM		V0	MII oocytes	-0.2918719530252985
GSE66582	Gate 2b R2	Mouse	SRR1840523	GSM1625869	SRR1840523	ICM		V2	MII oocytes	-0.1164305975286251
GSE66582	Gate 2b R2	Mouse	SRR1840526	GSM1625872	SRR1840526	ICM		V0	MII oocytes	-0.4262056809606298
GSE66582	Gate 2b R2	Mouse	SRR1840526	GSM1625872	SRR1840526	ICM		V2	MII oocytes	-0.2301311145075856
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep2	GSM8599766	SRR30827713	E2C	A485+Dux	V0	control E2C	-0.17696294294447
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep3	GSM8599763	SRR30827730	E2C	A485	V0	control E2C	-0.0505946687352009
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep4	GSM8599768	SRR30827783	E2C	A485+Dux	V0	control E2C	-0.110107410606948
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485_rep3	GSM8599775	SRR30827776	L2C	A485	V0	control E2C	-0.1388460113267821
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485_rep1	GSM8599773	SRR30827778	L2C	A485	V0	control E2C	-0.1177375782833412
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep2	GSM8599778	SRR30827772	L2C	A485+Dux	V0	control E2C	-0.1338115928881621
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep1	GSM8599769	SRR30827782	L2C	control	V0	control E2C	-0.3255482662542783
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep4	GSM8599780	SRR30827770	L2C	A485+Dux	V0	control E2C	-0.1832747119264854
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep4	GSM8599764	SRR30827719	E2C	A485	V0	control E2C	-0.0549708214960083
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep4	GSM8599772	SRR30827779	L2C	control	V0	control E2C	-0.1768381102791814
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485_rep4	GSM8599776	SRR30827775	L2C	A485	V0	control E2C	-0.1365561924557316
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep4	GSM8599760	SRR30827763	E2C	control	V0	control E2C	0.0173511285240197
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep2	GSM8599770	SRR30827781	L2C	control	V0	control E2C	-0.2472616271270143
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep3	GSM8599779	SRR30827771	L2C	A485+Dux	V0	control E2C	-0.1416407967741202
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep2	GSM8599762	SRR30827741	E2C	A485	V0	control E2C	-0.0926796030058044
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep3	GSM8599771	SRR30827780	L2C	control	V0	control E2C	-0.2375028637191498
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep1	GSM8599761	SRR30827752	E2C	A485	V0	control E2C	-0.0997365473780728
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep3	GSM8599767	SRR30827784	E2C	A485+Dux	V0	control E2C	-0.047035531296847
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep2	GSM8599758	SRR30827785	E2C	control	V0	control E2C	-0.0838436272762123
